,atds
464,0.5993
465,0.5578
466,0.5203
467,0.5883
468,0.5584
469,0.5965
470,0.5535
471,0.5947
472,0.5125
473,0.5082
474,0.5333
475,0.5371
476,0.4957
477,0.579
478,0.5036
479,0.5313
480,0.5798
481,0.6028
482,0.5477
483,0.5813
484,0.4778
485,0.4739
486,0.478
487,0.5507
488,0.5541
489,0.5779
490,0.5483
491,0.5473
492,0.5589
493,0.546
494,0.5303
495,0.5442
496,0.5392
497,0.57
498,0.4961
499,0.461
500,0.6079
501,0.6112
502,0.5596
503,0.5706
504,0.4934
505,0.5936
506,0.5982
507,0.6391
508,0.4913
509,0.4729
510,0.506
511,0.56
512,0.5429
513,0.5311
514,0.5522
515,0.5114
516,0.5984
517,0.5583
518,0.4227
519,0.5413
520,0.584
521,0.5518
522,0.5395
523,0.3259
524,0.5299
525,0.5548
526,0.5481
527,0.5565
528,0.5895
529,0.5422
530,0.4773
531,0.5503
532,0.5202
533,0.4918
534,0.5202
535,0.5535
536,0.5427
537,0.5549
538,0.5574
539,0.469
540,0.5462
541,0.4862
542,0.483
543,0.5495
544,0.5226
545,0.5493
546,0.4808
547,0.5286
548,0.4917
549,0.4973
550,0.5925
551,0.5019
552,0.5523
553,0.5802
554,0.5201
555,0.5476
556,0.5006
557,0.5556
558,0.5442
559,0.3788
560,0.5743
561,0.5562
562,0.5835
563,0.6178
564,0.5121
565,0.5529
566,0.4544
567,0.5308
568,0.4997
569,0.5586
570,0.5278
571,0.5495
572,0.5569
573,0.53
574,0.5471
575,0.5241
576,0.5557
577,0.5904
578,0.5618
579,0.5909
580,0.5009
581,0.5125
582,0.5375
583,0.5013
584,0.5531
585,0.5324
586,0.5093
587,0.5589
588,0.6047
589,0.5342
590,0.5426
591,0.5148
592,0.5556
593,0.5807
594,0.4812
595,0.5687
596,0.4291
597,0.5634
598,0.5652
599,0.6091
600,0.5707
601,0.5849
602,0.5455
603,0.5476
604,0.5626
605,0.5738
606,0.5228
607,0.5053
608,0.5601
609,0.5443
610,0.5157
611,0.5114
612,0.5359
613,0.4916
614,0.612
615,0.6075
616,0.562
617,0.5529
618,0.4944
619,0.4631
620,0.5374
621,0.5872
622,0.5269
623,0.5399
624,0.571
625,0.4957
626,0.5421
627,0.5702
628,0.5846
629,0.5743
630,0.5277
631,0.519
632,0.5683
633,0.5597
634,0.6175
635,0.6007
636,0.5412
637,0.5191
638,0.5973
639,0.5941
640,0.5283
641,0.4235
642,0.528
643,0.4528
644,0.5286
645,0.5896
646,0.5762
647,0.5197
648,0.5305
649,0.561
650,0.5347
651,0.573
652,0.5646
653,0.5547
654,0.5149
655,0.6288
656,0.529
657,0.5009
658,0.5554
659,0.5746
660,0.5551
661,0.524
662,0.5644
663,0.4582
664,0.532
665,0.5609
666,0.4558
667,0.504
668,0.5769
669,0.5563
670,0.5555
671,0.5978
672,0.5018
673,0.5651
674,0.5654
675,0.5611
676,0.5615
677,0.5659
678,0.5645
679,0.534
680,0.559
681,0.5687
682,0.5537
683,0.4672
684,0.5492
685,0.5328
686,0.5126
687,0.5545
688,0.601
689,0.5301
690,0.5609
691,0.5689
692,0.4878
693,0.5589
694,0.5255
695,0.5826
696,0.478
697,0.6184
698,0.4682
699,0.5739
700,0.5081
701,0.5808
702,0.5143
703,0.5915
704,0.5784
705,0.5088
706,0.557
707,0.5003
708,0.5373
709,0.5763
710,0.5888
711,0.5399
712,0.5764
713,0.4087
714,0.4856
715,0.5889
716,0.5873
717,0.4804
718,0.5372
719,0.4714
720,0.5619
721,0.5327
722,0.5775
723,0.5109
724,0.4557
725,0.5293
726,0.4952
727,0.566
728,0.5283
729,0.4883
730,0.6195
731,0.527
732,0.5459
733,0.5093
734,0.509
735,0.545
736,0.5563
737,0.5858
738,0.5066
739,0.501
740,0.5628
741,0.5199
742,0.5586
743,0.5438
744,0.4985
745,0.4901
746,0.5174
747,0.544
748,0.5267
749,0.5382
750,0.5423
751,0.5083
752,0.5472
753,0.5278
754,0.5349
755,0.5469
756,0.5446
757,0.5038
758,0.5018
759,0.5761
760,0.5547
761,0.5929
762,0.4611
763,0.5285
764,0.5687
765,0.4736
