,atds
461,0.5587
462,0.5649
463,0.5012
464,0.602
465,0.5515
466,0.5553
467,0.62
468,0.5498
469,0.5281
470,0.5686
471,0.583
472,0.5281
473,0.5225
474,0.5169
475,0.5505
476,0.5372
477,0.5394
478,0.5557
479,0.5853
480,0.5531
481,0.6376
482,0.6046
483,0.5828
484,0.5119
485,0.5351
486,0.5926
487,0.5448
488,0.5561
489,0.5169
490,0.5107
491,0.5543
492,0.4858
493,0.5967
494,0.5163
495,0.564
496,0.5426
497,0.5328
498,0.4552
499,0.6134
500,0.5541
501,0.5923
502,0.5472
503,0.5051
504,0.5077
505,0.6161
506,0.6294
507,0.5487
508,0.5598
509,0.6063
510,0.5546
511,0.5754
512,0.5518
513,0.521
514,0.5802
515,0.5306
516,0.5381
517,0.5057
518,0.5682
519,0.5716
520,0.5718
521,0.5824
522,0.5579
523,0.5441
524,0.5414
525,0.6036
526,0.5444
527,0.5655
528,0.5402
529,0.5938
530,0.5351
531,0.5273
532,0.5653
533,0.5815
534,0.5482
535,0.5619
536,0.5794
537,0.5826
538,0.5078
539,0.6108
540,0.4932
541,0.5656
542,0.5559
543,0.5398
544,0.5919
545,0.5395
546,0.5749
547,0.5791
548,0.5467
549,0.5005
550,0.5732
551,0.621
552,0.5994
553,0.6433
554,0.5362
555,0.5368
556,0.5348
557,0.544
558,0.5256
559,0.5707
560,0.5743
561,0.6123
562,0.5598
563,0.5291
564,0.547
565,0.5835
566,0.5524
567,0.5806
568,0.5669
569,0.5771
570,0.5391
571,0.5658
572,0.5437
573,0.5615
574,0.5363
575,0.6006
576,0.6416
577,0.5627
578,0.5641
579,0.5224
580,0.5761
581,0.5635
582,0.4726
583,0.5278
584,0.5727
585,0.4918
586,0.5948
587,0.5164
588,0.5607
589,0.5099
590,0.5438
591,0.6026
592,0.5977
593,0.6046
594,0.5782
595,0.5584
596,0.5678
597,0.5945
598,0.585
599,0.6209
600,0.5361
601,0.519
602,0.5879
603,0.4684
604,0.5458
605,0.5776
606,0.5264
607,0.529
608,0.5765
609,0.5202
610,0.5568
611,0.6064
612,0.4872
613,0.5772
614,0.5259
615,0.5051
616,0.5866
617,0.4765
618,0.5365
619,0.4601
620,0.5496
621,0.5252
622,0.5315
623,0.5696
624,0.5794
625,0.5402
626,0.6152
627,0.5467
628,0.5721
629,0.5933
630,0.4806
631,0.5323
632,0.5491
633,0.4944
634,0.5386
635,0.5856
636,0.5922
637,0.4742
638,0.596
639,0.5622
640,0.6092
641,0.5113
642,0.5792
643,0.5309
644,0.5715
645,0.5844
646,0.5663
647,0.4586
648,0.5357
649,0.4905
650,0.5741
651,0.539
652,0.5992
653,0.6106
654,0.5969
655,0.5322
656,0.5018
657,0.5527
658,0.5496
659,0.564
660,0.5868
661,0.5492
662,0.5418
663,0.6089
664,0.562
665,0.54
666,0.5505
667,0.5671
668,0.5404
669,0.5084
670,0.583
671,0.5509
672,0.5197
673,0.5559
674,0.6111
675,0.5129
676,0.5816
677,0.5087
678,0.5575
679,0.5676
680,0.4941
681,0.4944
682,0.5333
683,0.5532
684,0.5549
685,0.611
686,0.6004
687,0.6087
688,0.5002
689,0.5522
690,0.4928
691,0.5782
692,0.5875
693,0.5817
694,0.5226
695,0.5668
696,0.5583
697,0.5869
698,0.5348
699,0.5509
700,0.603
701,0.5148
702,0.5038
703,0.5568
704,0.5787
705,0.4822
706,0.5786
707,0.474
708,0.4935
709,0.6259
710,0.5806
711,0.5359
712,0.5849
713,0.5524
714,0.5604
715,0.55
716,0.552
717,0.5671
718,0.5551
719,0.4952
720,0.4996
721,0.5647
722,0.5593
723,0.4564
724,0.5418
725,0.5484
726,0.5557
727,0.6211
728,0.5618
729,0.5687
730,0.5856
731,0.4467
732,0.5675
733,0.4918
734,0.5747
735,0.4715
736,0.4959
737,0.5847
738,0.5904
739,0.5857
740,0.5891
741,0.4784
742,0.5588
743,0.555
744,0.5893
745,0.5952
746,0.5618
747,0.4618
748,0.5331
749,0.6015
750,0.5485
751,0.5614
752,0.4966
753,0.5569
754,0.4783
755,0.5152
756,0.5923
757,0.5262
758,0.5605
759,0.4983
760,0.5153
761,0.522
762,0.5769
763,0.5611
764,0.5514
765,0.5325
766,0.5134
767,0.5497
768,0.5347
769,0.6418
770,0.5432
771,0.6128
772,0.5509
773,0.5623
774,0.5838
775,0.4999
776,0.5876
777,0.5549
778,0.589
779,0.5579
780,0.5356
781,0.4789
782,0.5117
783,0.5689
784,0.6028
785,0.5498
786,0.5453
787,0.5353
788,0.5294
789,0.5656
790,0.547
791,0.5616
792,0.5256
793,0.5324
794,0.588
795,0.573
796,0.5284
797,0.5809
798,0.5397
799,0.5866
800,0.5349
801,0.5414
802,0.5778
803,0.5728
804,0.5409
805,0.557
806,0.5855
807,0.5758
808,0.5281
809,0.5124
810,0.5537
811,0.5859
812,0.6101
813,0.5499
814,0.5552
815,0.5807
816,0.5781
817,0.5493
818,0.4654
819,0.4889
820,0.562
821,0.5881
822,0.5521
823,0.4938
824,0.6035
825,0.4357
826,0.5559
827,0.5418
828,0.5618
829,0.5409
830,0.5488
831,0.5396
832,0.5634
833,0.5532
834,0.5943
835,0.5936
836,0.5987
837,0.5373
838,0.5503
839,0.5753
840,0.5449
841,0.5203
842,0.5421
843,0.5976
844,0.587
845,0.6052
846,0.5084
847,0.6117
848,0.5629
849,0.579
850,0.5446
851,0.5795
852,0.5733
853,0.5199
854,0.5103
855,0.4814
856,0.6006
857,0.5582
858,0.585
859,0.5314
860,0.508
861,0.5464
862,0.5927
863,0.4712
864,0.619
865,0.5817
866,0.5519
867,0.548
868,0.5306
869,0.5532
870,0.5565
871,0.5262
872,0.5502
873,0.5542
874,0.5556
875,0.5901
876,0.5677
877,0.5274
878,0.4943
879,0.4668
880,0.5216
881,0.5712
882,0.5466
883,0.4701
884,0.4888
885,0.6293
886,0.5964
887,0.5759
888,0.4958
889,0.5632
890,0.566
891,0.5779
892,0.4822
893,0.588
894,0.592
895,0.54
896,0.563
897,0.555
898,0.5828
899,0.5503
900,0.5329
901,0.5927
902,0.5751
903,0.5059
904,0.4942
905,0.5191
906,0.5919
907,0.5359
908,0.5908
909,0.5988
910,0.5382
911,0.5764
912,0.5213
913,0.5493
914,0.6348
915,0.6124
916,0.5632
917,0.5363
918,0.5353
919,0.425
920,0.4646
921,0.519
922,0.5672
923,0.5047
924,0.4884
925,0.5967
926,0.5286
927,0.5667
928,0.5285
929,0.5139
930,0.5342
931,0.5895
932,0.5566
933,0.561
934,0.5493
935,0.5704
936,0.5021
937,0.575
938,0.5579
939,0.56
940,0.5931
941,0.5774
942,0.5168
943,0.5928
944,0.5297
945,0.5122
946,0.5563
947,0.5582
948,0.5784
949,0.5955
950,0.5645
951,0.586
952,0.5653
953,0.6034
954,0.5516
955,0.4944
956,0.5008
957,0.5573
958,0.58
959,0.5839
960,0.513
961,0.569
962,0.5791
963,0.5029
964,0.5553
965,0.5542
966,0.608
967,0.5589
968,0.5643
969,0.5592
970,0.4712
971,0.527
972,0.549
973,0.5719
974,0.5652
975,0.5235
976,0.5511
977,0.5471
978,0.4663
979,0.5747
980,0.5541
981,0.4929
982,0.5546
983,0.5631
984,0.5614
985,0.5248
986,0.4911
987,0.5693
988,0.4977
989,0.548
990,0.4557
991,0.5281
992,0.6003
993,0.6126
994,0.5976
995,0.5585
996,0.5809
997,0.6013
998,0.5466
999,0.5179
1000,0.4991
1001,0.5231
