,SB
0,0.008839890360832214
1,0.038274575024843216
2,0.4099368751049042
3,0.008168680593371391
4,0.004413879010826349
5,0.16075541079044342
6,0.03385135531425476
7,0.004234300460666418
8,0.05942949280142784
9,0.0006076471181586385
10,0.017132529988884926
11,0.04728971794247627
12,0.0014568644110113382
13,0.0009660688228905201
14,0.002457191701978445
15,0.04341873526573181
16,0.004497187677770853
17,0.020660657435655594
18,0.01578477770090103
19,0.00016609281010460109
20,0.016597170382738113
21,0.36959901452064514
22,0.006329975090920925
23,0.00208568898960948
24,0.010686800815165043
25,0.04473422095179558
26,0.0022867326624691486
27,0.0034699048846960068
28,0.05017376318573952
29,0.014146313071250916
30,0.00044776409049518406
31,0.011889333836734295
32,0.002290426753461361
33,0.0016768062487244606
34,0.2387271523475647
35,0.004140560049563646
36,0.0068418290466070175
37,0.007427503354847431
38,0.0016552049200981855
39,0.013380941934883595
40,0.05916803702712059
41,0.005281689576804638
42,0.029575135558843613
43,0.0008769675623625517
44,0.007306324318051338
45,0.09035614877939224
46,0.012854062020778656
47,0.008780061267316341
48,0.0002497546374797821
49,0.15012876689434052
50,0.02557266876101494
51,0.04874521493911743
52,0.0023018692154437304
53,0.014883666299283504
54,0.029733994975686073
55,0.002902733162045479
56,0.0026873236056417227
57,0.0016223614802584052
58,0.02621481567621231
59,0.004143592435866594
60,0.011026578024029732
61,0.0006488390499725938
62,0.011678775772452354
63,0.0034305162262171507
64,0.03763994947075844
65,0.13334235548973083
66,0.29620832204818726
67,0.23279795050621033
68,0.024766067042946815
69,0.05128694325685501
70,0.01377171277999878
71,0.000718381314072758
72,0.0008118823752738535
73,0.059522274881601334
74,0.004644882399588823
75,0.012720007449388504
76,0.04228906333446503
77,0.6746501326560974
78,0.017052600160241127
79,0.05110068619251251
80,0.2514714300632477
81,0.010122060775756836
82,0.0019457638263702393
83,0.21117949485778809
84,0.06780601292848587
85,0.003082284005358815
86,0.004860889632254839
87,0.0164804607629776
88,0.0011753765866160393
89,0.04242238029837608
90,0.0003336191875860095
91,0.0032621650025248528
92,0.006900134030729532
93,0.0008494127541780472
94,0.016965581104159355
95,0.37627291679382324
96,0.007106832228600979
97,0.08267974108457565
98,0.12850002944469452
99,0.25110435485839844
100,0.00014091691991779953
101,0.010257058776915073
102,0.06442664563655853
103,0.0013559352373704314
104,0.028803348541259766
105,0.005416233092546463
106,0.09394223988056183
107,0.013061396777629852
108,0.1312953233718872
109,0.08983265608549118
110,0.003764296416193247
111,0.021043550223112106
112,0.0016431541880592704
113,0.10464569926261902
114,0.11986557394266129
115,0.03758154809474945
116,0.008757298812270164
117,0.0030930330976843834
118,0.00196080282330513
119,0.008762022480368614
120,0.03903229907155037
121,0.0026417539920657873
122,0.049532171338796616
123,0.0011601750738918781
124,0.002827843651175499
125,0.0005126810283400118
126,0.03808123990893364
127,0.00771471718326211
128,0.04628913104534149
129,0.021560925990343094
130,0.0011488933814689517
131,0.0027137629222124815
132,0.002979598706588149
133,0.005360843613743782
134,0.09778828918933868
135,0.18796667456626892
136,0.21966037154197693
137,0.016023965552449226
138,0.004566918592900038
139,0.00026464290567673743
140,0.01431181002408266
141,0.0319318026304245
142,0.007344352547079325
143,0.02956128865480423
144,0.004888581112027168
145,0.054422009736299515
146,0.003874134737998247
147,0.01766282506287098
148,0.019567666575312614
149,0.900310218334198
150,0.008609491400420666
151,0.00029398189508356154
152,0.005231459159404039
153,0.002321551088243723
154,0.187673881649971
155,0.0015060962177813053
156,0.02612997591495514
157,0.0031961810309439898
158,0.009186668321490288
159,0.009794670157134533
160,0.010201462544500828
161,0.0008438718505203724
162,0.0006302020628936589
163,0.07292259484529495
164,0.3564055562019348
165,0.0016916152089834213
166,0.010880615562200546
167,0.00047459511552006006
168,0.000537501648068428
169,0.03482245281338692
170,0.018171068280935287
171,0.041422467678785324
172,0.009249938651919365
173,0.012173282913863659
174,0.019092915579676628
175,0.004749134182929993
176,0.7295419573783875
177,0.02801564522087574
178,0.0015354541828855872
179,0.017128512263298035
180,0.026031561195850372
181,0.0008954559452831745
182,0.0465720109641552
183,0.05438833311200142
184,0.0036970952060073614
185,0.27715903520584106
186,0.0014411518350243568
187,0.29497188329696655
188,0.027746953070163727
189,0.017977183684706688
190,0.10861673951148987
191,0.01823883131146431
192,0.30029016733169556
193,0.000977485440671444
194,0.0003448622883297503
195,0.28465235233306885
196,0.6990580558776855
197,0.038552310317754745
198,0.08415413647890091
199,0.0004894722369499505
200,0.17964935302734375
201,0.3074115216732025
202,0.0012162004131823778
203,0.1796601414680481
204,0.029811779037117958
205,0.023755235597491264
206,0.0012469145003706217
207,0.001983208581805229
208,0.1036650687456131
209,0.06892945617437363
210,0.5701291561126709
211,0.0024984648916870356
212,0.02285243198275566
213,0.0030615145806223154
214,0.021094178780913353
215,0.11454050242900848
216,0.08859749138355255
217,0.009702490642666817
218,0.12689773738384247
219,0.005500626750290394
220,0.08264841884374619
221,0.05859130993485451
