target_lang,donor_lang,atds
punjabi,hindi-clustered321,0.6245
punjabi,hindi-clustered972,0.6191
punjabi,hindi-clustered445,0.6186
punjabi,hindi-clustered672,0.617
punjabi,hindi-clustered840,0.6119
punjabi,hindi-clustered135,0.6118
punjabi,hindi-clustered810,0.6088
punjabi,hindi-clustered525,0.6061
punjabi,hindi-clustered574,0.604
punjabi,hindi-clustered515,0.6036
punjabi,hindi-clustered841,0.6031
punjabi,hindi-clustered764,0.6018
punjabi,hindi-clustered349,0.6012
punjabi,hindi-clustered879,0.6001
punjabi,hindi-clustered739,0.5993
punjabi,hindi-clustered93,0.5986
punjabi,hindi-clustered858,0.5973
punjabi,hindi-clustered550,0.5972
punjabi,hindi-clustered330,0.5968
punjabi,hindi-clustered531,0.5968
punjabi,hindi-clustered600,0.5966
punjabi,hindi-clustered13,0.5955
punjabi,hindi-clustered526,0.5953
punjabi,hindi-clustered207,0.5951
punjabi,hindi-clustered832,0.5949
punjabi,hindi-clustered594,0.5945
punjabi,hindi-clustered184,0.5942
punjabi,hindi-clustered366,0.5941
punjabi,hindi-clustered253,0.5939
punjabi,hindi-clustered176,0.5937
punjabi,hindi-clustered524,0.5935
punjabi,hindi-clustered38,0.5929
punjabi,hindi-clustered589,0.5928
punjabi,hindi-clustered191,0.5927
punjabi,hindi-clustered178,0.5925
punjabi,hindi-clustered188,0.592
punjabi,hindi-clustered2,0.5918
punjabi,hindi-clustered920,0.5917
punjabi,hindi-clustered884,0.5916
punjabi,hindi-clustered107,0.591
punjabi,hindi-clustered875,0.5908
punjabi,hindi-clustered903,0.5903
punjabi,hindi-clustered12,0.59
punjabi,hindi-clustered709,0.5897
punjabi,hindi-clustered236,0.5896
punjabi,hindi-clustered51,0.589
punjabi,hindi-clustered132,0.5889
punjabi,hindi-clustered604,0.5888
punjabi,hindi-clustered772,0.5888
punjabi,hindi-clustered935,0.5878
punjabi,hindi-clustered146,0.5878
punjabi,hindi-clustered796,0.5878
punjabi,hindi-clustered50,0.5877
punjabi,hindi-clustered491,0.5874
punjabi,hindi-clustered696,0.5873
punjabi,hindi-clustered504,0.5871
punjabi,hindi-clustered192,0.5867
punjabi,hindi-clustered609,0.5865
punjabi,hindi-clustered99,0.5861
punjabi,hindi-clustered583,0.5859
punjabi,hindi-clustered405,0.5858
punjabi,hindi-clustered878,0.5852
punjabi,hindi-clustered776,0.5848
punjabi,hindi-clustered289,0.5844
punjabi,hindi-clustered63,0.5842
punjabi,hindi-clustered272,0.5839
punjabi,hindi-clustered632,0.5837
punjabi,hindi-clustered606,0.5837
punjabi,hindi-clustered659,0.5834
punjabi,hindi-clustered278,0.5831
punjabi,hindi-clustered371,0.583
punjabi,hindi-clustered991,0.5825
punjabi,hindi-clustered890,0.5817
punjabi,hindi-clustered814,0.5814
punjabi,hindi-clustered232,0.5814
punjabi,hindi-clustered502,0.5809
punjabi,hindi-clustered41,0.5805
punjabi,hindi-clustered598,0.5803
punjabi,hindi-clustered451,0.5802
punjabi,hindi-clustered478,0.5798
punjabi,hindi-clustered162,0.5795
punjabi,hindi-clustered217,0.5791
punjabi,hindi-clustered915,0.5782
punjabi,hindi-clustered246,0.5779
punjabi,hindi-clustered230,0.5778
punjabi,hindi-clustered932,0.5775
punjabi,hindi-clustered981,0.5774
punjabi,hindi-clustered115,0.5773
punjabi,hindi-clustered426,0.5767
punjabi,hindi-clustered17,0.5764
punjabi,hindi-clustered165,0.5761
punjabi,hindi-clustered561,0.5752
punjabi,hindi-clustered124,0.5749
punjabi,hindi-clustered179,0.5745
punjabi,hindi-clustered621,0.5744
punjabi,hindi-clustered461,0.5743
punjabi,hindi-clustered940,0.5742
punjabi,hindi-clustered734,0.574
punjabi,hindi-clustered149,0.5732
punjabi,hindi-clustered965,0.5732
punjabi,hindi-clustered761,0.5731
punjabi,hindi-clustered866,0.5729
punjabi,hindi-clustered438,0.5727
punjabi,hindi-clustered469,0.5724
punjabi,hindi-clustered61,0.5724
punjabi,hindi-clustered568,0.5722
punjabi,hindi-clustered597,0.5722
