,atds
0,0.4515
1,0.5326
2,0.5642
3,0.5662
4,0.5273
5,0.5418
6,0.6103
7,0.5697
8,0.5623
9,0.5384
10,0.6437
11,0.5459
12,0.5252
13,0.5606
14,0.5954
15,0.5623
16,0.5214
17,0.5529
18,0.5785
19,0.5831
20,0.6065
21,0.5577
22,0.4974
23,0.528
24,0.5166
25,0.5236
26,0.6041
27,0.5204
28,0.6046
29,0.5354
30,0.5353
31,0.5
32,0.543
33,0.592
34,0.52
35,0.5349
36,0.5923
37,0.517
38,0.4861
39,0.6016
40,0.5749
41,0.5456
42,0.5025
43,0.5352
44,0.5608
45,0.5598
46,0.5059
47,0.5705
48,0.5439
49,0.605
50,0.6076
51,0.615
52,0.5431
53,0.6177
54,0.596
55,0.5468
56,0.5443
57,0.5172
58,0.5574
59,0.5955
60,0.4417
61,0.5143
62,0.5257
63,0.5868
64,0.5988
65,0.5668
66,0.5215
67,0.516
68,0.4975
69,0.521
70,0.5476
71,0.5897
72,0.5638
73,0.5003
74,0.5504
75,0.4831
76,0.5574
77,0.599
78,0.5832
79,0.5436
80,0.5499
81,0.5816
82,0.5607
83,0.538
84,0.5233
85,0.5108
86,0.5369
87,0.5801
88,0.5671
89,0.5378
90,0.5759
91,0.6355
92,0.5202
93,0.5559
94,0.5899
95,0.5383
96,0.557
97,0.4993
98,0.4651
99,0.5153
100,0.5332
101,0.5748
102,0.5492
103,0.5824
104,0.5996
105,0.5716
106,0.5838
107,0.5783
108,0.5668
109,0.5079
110,0.5689
111,0.5224
112,0.4024
113,0.5276
114,0.6328
115,0.6019
116,0.4473
117,0.5542
118,0.5449
119,0.5774
120,0.5887
121,0.5151
122,0.5812
123,0.5993
124,0.5715
125,0.57
126,0.6097
127,0.5403
128,0.5571
129,0.5739
130,0.5351
131,0.5592
132,0.5255
133,0.6133
134,0.5843
135,0.5759
136,0.5788
137,0.4877
138,0.5599
139,0.5519
140,0.5244
141,0.5028
142,0.5615
143,0.5839
144,0.5905
145,0.5691
146,0.5054
147,0.5258
148,0.5761
149,0.5213
150,0.5668
151,0.5412
152,0.5337
153,0.5098
154,0.5535
155,0.5958
156,0.5903
157,0.5963
158,0.5618
159,0.486
160,0.5945
161,0.5999
162,0.5608
163,0.5655
164,0.5434
165,0.5443
166,0.5072
167,0.4595
168,0.5195
169,0.5313
170,0.5415
171,0.5583
172,0.5638
173,0.5652
174,0.5677
175,0.5005
176,0.5908
177,0.6139
178,0.5942
179,0.5547
180,0.5598
181,0.5857
182,0.5306
183,0.5785
184,0.5789
185,0.5686
186,0.5732
187,0.5735
188,0.5655
189,0.5245
190,0.5039
191,0.6148
192,0.5741
193,0.5746
194,0.5351
195,0.565
196,0.5057
197,0.5376
198,0.5395
199,0.5167
200,0.4772
201,0.4912
202,0.578
203,0.5985
204,0.6133
205,0.5712
206,0.5562
207,0.4409
208,0.5423
209,0.5069
210,0.5686
211,0.6371
212,0.5775
213,0.5842
214,0.608
215,0.627
216,0.5815
217,0.4954
218,0.5793
219,0.5343
220,0.5552
221,0.5766
222,0.585
223,0.5908
224,0.6278
225,0.4642
226,0.5813
227,0.5789
228,0.5843
229,0.5571
230,0.5612
231,0.6243
232,0.494
233,0.5783
234,0.5608
235,0.5785
236,0.4957
237,0.5353
238,0.5214
239,0.5722
240,0.5826
241,0.5799
242,0.6239
243,0.5958
244,0.6274
245,0.5184
246,0.5949
247,0.5664
248,0.5602
249,0.559
250,0.6138
251,0.5298
252,0.553
253,0.5015
254,0.5319
255,0.4379
256,0.4856
257,0.488
258,0.5935
259,0.5363
260,0.5479
261,0.5124
262,0.5469
263,0.492
264,0.526
265,0.5468
266,0.5167
267,0.4748
268,0.5789
269,0.3548
270,0.6149
271,0.5539
272,0.5746
273,0.5056
274,0.5148
275,0.5704
276,0.4851
277,0.585
278,0.532
279,0.6106
280,0.5596
281,0.5515
282,0.5519
283,0.5498
284,0.5632
285,0.5566
286,0.5403
287,0.5826
288,0.567
289,0.5195
290,0.3489
291,0.5476
292,0.5763
293,0.5415
294,0.6286
295,0.5499
296,0.5645
297,0.5466
298,0.5906
299,0.56
300,0.5087
301,0.599
302,0.5966
303,0.4712
304,0.5291
305,0.5637
306,0.5849
307,0.6155
308,0.5377
309,0.5527
310,0.4679
311,0.6037
312,0.5739
313,0.5098
314,0.5647
315,0.5838
316,0.5522
317,0.5363
318,0.5209
319,0.588
320,0.5461
321,0.548
322,0.5686
323,0.5697
324,0.5277
325,0.6222
326,0.6019
327,0.5491
328,0.6165
329,0.5669
330,0.5254
331,0.5634
332,0.5127
333,0.4851
334,0.5351
335,0.5878
336,0.6121
337,0.5274
338,0.578
339,0.4866
340,0.5362
341,0.5241
342,0.6214
343,0.5234
344,0.5693
345,0.487
346,0.4803
347,0.5958
348,0.596
349,0.5602
350,0.5333
351,0.5606
352,0.5804
353,0.5778
354,0.523
355,0.5762
356,0.566
357,0.5858
358,0.3852
359,0.557
360,0.5115
361,0.6123
362,0.6424
363,0.5283
364,0.6017
365,0.5455
366,0.5856
367,0.588
368,0.5761
369,0.5251
370,0.4599
371,0.6065
372,0.5291
373,0.5571
374,0.4887
375,0.5729
376,0.5475
377,0.5209
378,0.5403
379,0.5861
380,0.5653
381,0.5801
382,0.6081
383,0.4751
384,0.5493
385,0.5203
386,0.5277
387,0.4392
388,0.5107
389,0.5745
390,0.5589
391,0.514
392,0.5971
393,0.5615
394,0.5418
395,0.58
396,0.5223
397,0.5838
398,0.4673
399,0.6046
400,0.5525
401,0.5068
402,0.6039
403,0.4778
404,0.5545
405,0.5645
406,0.543
407,0.4981
408,0.5493
409,0.6306
410,0.5331
411,0.5575
412,0.5575
413,0.5291
414,0.6114
415,0.5568
416,0.5567
417,0.5262
418,0.5718
419,0.5627
420,0.516
421,0.5822
422,0.6118
423,0.5388
424,0.5696
425,0.4207
426,0.6096
427,0.5799
428,0.5267
429,0.558
430,0.58
431,0.5162
432,0.5032
433,0.5287
434,0.5146
435,0.4951
436,0.5459
437,0.5755
438,0.4162
439,0.4744
440,0.5829
441,0.5337
442,0.6273
443,0.5296
444,0.5225
445,0.4463
446,0.6072
447,0.5147
448,0.5709
449,0.548
450,0.5322
451,0.5226
452,0.5492
453,0.4698
454,0.5673
455,0.5771
456,0.5854
457,0.6006
458,0.5391
459,0.5749
460,0.5306
461,0.5745
462,0.5322
463,0.5834
464,0.5619
465,0.6036
466,0.5148
467,0.5139
468,0.5268
469,0.5372
470,0.4966
471,0.5817
472,0.5776
473,0.5514
474,0.5731
475,0.5324
476,0.581
477,0.5661
478,0.5423
479,0.5823
480,0.5922
481,0.571
482,0.4884
483,0.5543
484,0.4835
485,0.5828
486,0.5026
487,0.5941
488,0.5861
489,0.5009
490,0.5933
491,0.4633
492,0.5184
493,0.5328
494,0.5943
495,0.476
496,0.5107
497,0.5747
498,0.6025
499,0.3248
500,0.5573
501,0.5215
502,0.6294
503,0.5837
504,0.4449
505,0.5704
506,0.597
507,0.5835
508,0.5719
509,0.612
510,0.5707
511,0.4966
512,0.5778
513,0.5416
514,0.487
515,0.5448
516,0.5642
517,0.6146
518,0.5294
519,0.6181
520,0.551
521,0.5562
522,0.5318
523,0.537
524,0.5547
525,0.6003
526,0.5591
527,0.4304
528,0.4694
529,0.5627
530,0.5482
531,0.5503
532,0.582
533,0.5857
534,0.5373
535,0.5545
536,0.3479
537,0.5439
538,0.5232
539,0.6304
540,0.5599
541,0.5494
542,0.5264
543,0.6039
544,0.5541
545,0.6027
546,0.577
547,0.6036
548,0.5203
549,0.5773
550,0.5537
551,0.6179
552,0.4632
553,0.6127
554,0.577
555,0.5582
556,0.6079
557,0.598
558,0.5326
559,0.528
560,0.5682
561,0.5735
562,0.5933
563,0.5845
564,0.6041
565,0.6036
566,0.5668
567,0.5455
568,0.6062
569,0.5807
570,0.5553
571,0.6155
572,0.5451
573,0.5433
574,0.5283
575,0.5307
576,0.547
577,0.5542
578,0.5733
579,0.5412
580,0.4468
581,0.61
582,0.5785
583,0.5432
584,0.5964
585,0.573
586,0.5719
587,0.4937
588,0.6027
589,0.5779
590,0.5111
591,0.605
592,0.5819
593,0.509
594,0.579
595,0.563
596,0.5278
597,0.5804
598,0.5517
599,0.4976
600,0.4156
601,0.5005
602,0.5335
603,0.5236
604,0.5832
605,0.5854
606,0.4973
607,0.5831
608,0.5545
609,0.5397
610,0.5668
611,0.5477
612,0.5846
613,0.6107
614,0.6132
615,0.5024
616,0.5307
617,0.5387
618,0.6053
619,0.5489
620,0.5616
621,0.5984
622,0.579
623,0.6119
624,0.5711
625,0.4235
626,0.582
627,0.4007
628,0.5541
629,0.4477
630,0.5336
631,0.5553
632,0.5757
633,0.6137
634,0.4923
635,0.5587
636,0.5937
637,0.4676
638,0.5492
639,0.5823
640,0.5146
641,0.5033
642,0.5682
643,0.5508
644,0.5621
645,0.6174
646,0.3301
647,0.5711
648,0.5321
649,0.5518
650,0.5623
651,0.4807
652,0.5446
653,0.6288
654,0.5721
655,0.5668
656,0.6189
657,0.5448
658,0.57
659,0.5672
660,0.5292
661,0.576
662,0.5657
663,0.5274
664,0.5636
665,0.5817
666,0.5461
667,0.511
668,0.5577
669,0.5449
670,0.4615
671,0.4689
672,0.5433
673,0.5848
674,0.6116
675,0.5735
676,0.5527
677,0.5146
678,0.5462
679,0.5219
680,0.5996
681,0.6191
682,0.5183
683,0.5221
684,0.5917
685,0.5698
686,0.528
687,0.5898
688,0.5441
689,0.5959
690,0.5878
691,0.42
692,0.5823
693,0.6172
694,0.5543
695,0.5947
696,0.4896
697,0.5631
698,0.5785
699,0.5531
700,0.6075
701,0.5787
702,0.5339
703,0.6075
704,0.5904
705,0.6135
706,0.5645
707,0.5379
708,0.6213
709,0.5236
710,0.5946
711,0.5241
712,0.6002
713,0.4888
714,0.6201
715,0.5261
716,0.5286
717,0.5746
718,0.5364
719,0.6227
720,0.5179
721,0.5366
722,0.5082
723,0.5591
724,0.5877
725,0.5181
726,0.5326
727,0.5582
728,0.572
729,0.503
730,0.5582
731,0.6071
732,0.5722
733,0.5998
734,0.5882
735,0.5554
736,0.5817
737,0.5365
738,0.5328
739,0.6054
740,0.5265
741,0.567
742,0.5463
743,0.623
744,0.5448
745,0.5682
746,0.4048
747,0.5586
748,0.5071
749,0.5532
750,0.5673
751,0.5611
752,0.5608
753,0.6284
754,0.6082
755,0.5306
756,0.5898
757,0.5456
758,0.5819
759,0.5507
760,0.5934
761,0.5053
762,0.5649
763,0.5348
764,0.6369
765,0.5671
766,0.5892
767,0.5549
768,0.5718
769,0.5328
770,0.5259
771,0.5003
772,0.5393
773,0.5951
774,0.562
775,0.6222
776,0.5927
777,0.5558
778,0.6122
779,0.6163
780,0.5681
781,0.6187
782,0.5902
783,0.56
784,0.6087
785,0.5332
786,0.5224
787,0.5589
788,0.5619
789,0.5537
790,0.5509
791,0.4707
792,0.5222
793,0.591
794,0.583
795,0.5381
796,0.5521
797,0.6159
798,0.5755
799,0.5123
800,0.5095
801,0.5902
802,0.5749
803,0.5735
804,0.5377
805,0.5722
806,0.5953
807,0.5263
808,0.598
809,0.5634
810,0.5478
811,0.5949
812,0.5828
813,0.4578
814,0.5368
815,0.6045
816,0.559
817,0.5369
818,0.6149
819,0.5555
820,0.6344
821,0.5419
822,0.5149
823,0.5618
824,0.5515
825,0.5535
826,0.5388
827,0.5121
828,0.5481
829,0.5495
830,0.5992
831,0.552
832,0.5541
833,0.596
834,0.5565
835,0.5049
836,0.6216
837,0.4979
838,0.5394
839,0.49
840,0.6193
841,0.5495
842,0.584
843,0.4903
844,0.5557
845,0.4976
846,0.5292
847,0.5575
848,0.6212
849,0.5435
850,0.5995
851,0.5621
852,0.5133
853,0.5942
854,0.5652
855,0.5651
856,0.5409
857,0.5463
858,0.5424
859,0.5668
860,0.5941
861,0.615
862,0.5161
863,0.6473
864,0.5821
865,0.6406
866,0.5329
867,0.5886
868,0.599
869,0.5014
870,0.5793
871,0.559
872,0.5572
873,0.5468
874,0.6037
875,0.585
876,0.5624
877,0.5176
878,0.5668
879,0.6023
880,0.5149
881,0.5152
882,0.614
883,0.5761
884,0.5471
885,0.5763
886,0.555
887,0.5334
888,0.5181
889,0.5663
890,0.5507
891,0.5836
892,0.5711
893,0.5771
894,0.5669
895,0.5427
896,0.567
897,0.4718
898,0.6082
899,0.5863
900,0.5428
901,0.508
902,0.5462
903,0.529
904,0.5203
905,0.5544
906,0.4686
907,0.5564
908,0.5657
909,0.5994
910,0.4904
911,0.4944
912,0.5078
913,0.5415
914,0.6352
915,0.6082
916,0.5824
917,0.5727
918,0.5584
919,0.5781
920,0.5362
921,0.6199
922,0.4467
923,0.5469
924,0.6
925,0.5535
926,0.6007
927,0.4568
928,0.5273
929,0.5762
930,0.6063
931,0.5807
932,0.5777
933,0.5729
934,0.5361
935,0.4804
936,0.6047
937,0.4797
938,0.5391
939,0.5231
940,0.539
941,0.613
942,0.5962
943,0.5501
944,0.6043
945,0.5764
946,0.4939
947,0.6017
948,0.5962
949,0.5797
950,0.5609
951,0.5484
952,0.5591
953,0.5628
954,0.5839
955,0.5567
956,0.5537
957,0.5496
958,0.5404
959,0.5303
960,0.5604
961,0.4351
962,0.3743
963,0.5692
964,0.5843
965,0.5931
966,0.5782
967,0.6258
968,0.6324
969,0.4952
970,0.5284
971,0.661
972,0.5694
973,0.585
974,0.5962
975,0.5856
976,0.5651
977,0.5311
978,0.5868
979,0.5427
980,0.4992
981,0.5191
982,0.5834
983,0.5289
984,0.5977
985,0.5428
986,0.5962
987,0.5488
988,0.5677
989,0.4641
990,0.565
991,0.5265
992,0.5357
993,0.524
994,0.5597
995,0.5563
996,0.5941
997,0.5734
998,0.5988
999,0.5625
1000,0.5788
1001,0.5251
1002,0.5579
1003,0.5699
1004,0.5432
1005,0.5458
1006,0.5577
1007,0.5811
1008,0.5855
1009,0.5941
1010,0.5453
1011,0.424
1012,0.5637
1013,0.6039
1014,0.5579
1015,0.5266
1016,0.5204
1017,0.5856
1018,0.4856
1019,0.5297
1020,0.5024
1021,0.6273
1022,0.5011
1023,0.467
1024,0.5517
1025,0.5376
1026,0.5612
1027,0.6029
1028,0.5959
1029,0.578
1030,0.5845
1031,0.5679
1032,0.5514
1033,0.5201
1034,0.581
1035,0.6592
1036,0.6053
1037,0.5548
1038,0.5946
1039,0.6221
1040,0.5669
1041,0.4641
1042,0.552
1043,0.5656
1044,0.5707
1045,0.58
1046,0.5238
1047,0.5073
1048,0.574
1049,0.589
1050,0.5903
1051,0.4995
1052,0.5926
1053,0.6028
1054,0.5407
1055,0.4505
1056,0.6151
1057,0.5493
1058,0.4864
1059,0.5159
1060,0.6281
1061,0.6001
1062,0.5351
1063,0.6083
1064,0.5784
1065,0.5667
1066,0.578
