,atds
464,0.5527
465,0.5207
466,0.5643
467,0.5277
468,0.5773
469,0.5349
470,0.5111
471,0.5813
472,0.5128
473,0.5328
474,0.5354
475,0.5151
476,0.5285
477,0.5836
478,0.5763
479,0.5779
480,0.5089
481,0.5815
482,0.5736
483,0.5522
484,0.5367
485,0.613
486,0.4844
487,0.533
488,0.5194
489,0.51
490,0.5959
491,0.5531
492,0.5432
493,0.5785
494,0.5287
495,0.5672
496,0.5487
497,0.5487
498,0.5748
499,0.5588
500,0.5437
501,0.5686
502,0.5941
503,0.5728
504,0.527
505,0.5469
506,0.5157
507,0.5726
508,0.5804
509,0.6144
510,0.5919
511,0.503
512,0.4921
513,0.5604
514,0.4924
515,0.6053
516,0.4874
517,0.5123
518,0.5632
519,0.5832
520,0.5839
521,0.6124
522,0.5824
523,0.5379
524,0.5079
525,0.587
526,0.5454
527,0.6107
528,0.6041
529,0.546
530,0.578
531,0.5849
532,0.5583
533,0.6243
534,0.5312
535,0.5899
536,0.5345
537,0.5103
538,0.547
539,0.5371
540,0.5586
541,0.6285
542,0.5836
543,0.5973
544,0.6087
545,0.6005
546,0.5286
547,0.5922
548,0.5751
549,0.5585
550,0.5457
551,0.5797
552,0.6175
553,0.5554
554,0.5152
555,0.5715
556,0.5877
557,0.5472
558,0.5396
559,0.548
560,0.5804
561,0.6014
562,0.589
563,0.5543
564,0.5726
565,0.5206
566,0.5727
567,0.5127
568,0.3914
569,0.5936
570,0.5124
571,0.5877
572,0.5321
573,0.5565
574,0.5192
575,0.5731
576,0.5282
577,0.5393
578,0.5247
579,0.5287
580,0.5688
581,0.6198
582,0.5475
583,0.5241
584,0.5487
585,0.5646
586,0.5005
587,0.5376
588,0.5219
589,0.5302
590,0.4799
591,0.5821
592,0.5753
593,0.5845
594,0.5635
595,0.5996
596,0.567
597,0.5671
598,0.5603
599,0.5474
600,0.5479
601,0.5231
602,0.5161
603,0.5627
604,0.5044
605,0.5334
606,0.5731
607,0.5746
608,0.5479
609,0.6041
610,0.5409
611,0.6003
612,0.5365
613,0.5343
614,0.5693
615,0.5986
616,0.5854
617,0.5442
618,0.5261
619,0.5573
620,0.4928
621,0.536
622,0.5116
623,0.6094
624,0.5982
625,0.5506
626,0.5147
627,0.5291
628,0.5901
629,0.5635
630,0.5624
631,0.5705
632,0.5634
633,0.5257
634,0.5514
635,0.5747
636,0.6335
637,0.5402
638,0.5693
639,0.5423
640,0.5929
641,0.6087
642,0.6089
643,0.5492
644,0.5916
645,0.5724
646,0.5384
647,0.6002
648,0.6033
649,0.6004
650,0.5654
651,0.5481
652,0.4929
653,0.5483
654,0.5188
655,0.5107
656,0.5804
657,0.5761
658,0.589
659,0.5732
660,0.438
661,0.5619
662,0.5615
663,0.5352
664,0.6092
665,0.5284
666,0.5629
667,0.537
668,0.3898
669,0.5925
670,0.5941
671,0.5784
672,0.5615
673,0.5751
674,0.6118
675,0.5816
676,0.6012
677,0.4843
678,0.5343
679,0.5791
680,0.5161
681,0.5849
682,0.5582
683,0.5723
684,0.5882
685,0.5548
686,0.587
687,0.5034
688,0.5001
689,0.6002
690,0.5305
691,0.4343
692,0.5347
693,0.5262
694,0.5844
695,0.5519
696,0.5986
697,0.5703
698,0.4581
699,0.4635
700,0.5581
701,0.584
702,0.543
703,0.5395
704,0.49
705,0.564
706,0.6017
707,0.5268
708,0.6076
709,0.5754
710,0.5762
711,0.5424
712,0.5613
713,0.623
714,0.5783
715,0.5653
716,0.5328
717,0.5544
718,0.5149
719,0.5557
720,0.5479
721,0.5766
722,0.6223
723,0.5526
724,0.5658
725,0.6295
726,0.6024
727,0.5512
728,0.5168
729,0.5944
730,0.5662
731,0.5117
732,0.5237
733,0.5339
734,0.5633
735,0.5471
736,0.4633
737,0.5654
738,0.5407
739,0.5354
740,0.5449
741,0.5094
742,0.5932
743,0.5234
744,0.5142
745,0.5589
746,0.5683
747,0.557
748,0.5919
749,0.5461
750,0.579
751,0.6095
752,0.5359
753,0.576
754,0.5299
755,0.5318
756,0.513
757,0.5583
758,0.5013
759,0.5531
760,0.5334
761,0.561
762,0.5951
763,0.4574
764,0.5688
765,0.5882
766,0.6037
767,0.4732
768,0.5064
769,0.5825
770,0.5956
771,0.5113
772,0.511
773,0.5089
774,0.5672
775,0.5388
776,0.593
777,0.5145
778,0.6299
779,0.5315
780,0.5959
781,0.6062
782,0.5296
783,0.5742
784,0.4813
785,0.5765
786,0.5376
787,0.5757
788,0.5676
789,0.5598
790,0.5798
791,0.4657
792,0.5308
793,0.6004
794,0.5396
795,0.5464
796,0.5672
797,0.5865
798,0.4699
799,0.509
800,0.5561
801,0.5816
802,0.5694
803,0.5953
804,0.5872
805,0.6058
806,0.3845
807,0.6378
808,0.5003
809,0.5736
810,0.5675
811,0.6301
812,0.607
813,0.5538
814,0.544
815,0.594
816,0.5586
817,0.6166
818,0.5194
819,0.4465
820,0.5765
821,0.5701
822,0.5501
823,0.5681
824,0.531
825,0.4846
826,0.6075
827,0.5609
828,0.5701
829,0.5647
830,0.5603
831,0.4842
832,0.5723
833,0.5513
834,0.5115
835,0.5236
836,0.5236
837,0.5445
838,0.5597
839,0.6052
840,0.4426
841,0.498
842,0.5887
843,0.59
844,0.5875
845,0.5188
846,0.5617
847,0.5886
848,0.5506
849,0.5262
850,0.5659
851,0.5282
852,0.5413
853,0.5056
854,0.5487
855,0.5399
856,0.5435
857,0.5472
858,0.5404
859,0.5377
860,0.5585
861,0.4848
862,0.5741
863,0.5563
864,0.5289
865,0.5177
866,0.5298
867,0.5232
868,0.5941
869,0.5867
870,0.55
871,0.6068
872,0.6235
873,0.5916
874,0.4746
875,0.5196
876,0.5203
877,0.5295
878,0.5401
879,0.5129
880,0.5115
881,0.526
882,0.5547
883,0.5747
884,0.5098
885,0.5628
886,0.5349
887,0.5736
888,0.5479
889,0.5881
890,0.5845
891,0.5403
892,0.6068
893,0.6013
894,0.6377
895,0.5758
896,0.5595
897,0.5739
898,0.5302
899,0.6548
900,0.4967
901,0.5674
902,0.5696
903,0.5446
904,0.5307
905,0.5659
906,0.5666
907,0.556
908,0.3779
909,0.5826
910,0.571
911,0.5256
912,0.5327
913,0.5052
914,0.5011
915,0.5214
916,0.4867
917,0.5319
918,0.492
919,0.6099
920,0.5414
921,0.548
922,0.5859
923,0.5778
924,0.5897
925,0.5736
926,0.5559
927,0.6369
928,0.4721
929,0.5629
930,0.6177
931,0.5506
932,0.5205
933,0.5496
934,0.5371
935,0.534
936,0.5271
937,0.5112
938,0.5722
939,0.574
940,0.5939
941,0.5458
942,0.56
943,0.4788
944,0.5342
945,0.5552
946,0.5152
947,0.4702
948,0.5695
949,0.5899
950,0.4776
951,0.5184
952,0.5909
953,0.6285
954,0.5606
955,0.5326
956,0.6231
957,0.5146
958,0.5781
959,0.6292
960,0.6273
