,atds
463,0.5432
464,0.5307
465,0.5647
466,0.5659
467,0.546
468,0.5541
469,0.5163
470,0.5746
471,0.5764
472,0.6109
473,0.5478
474,0.5328
475,0.5222
476,0.5777
477,0.5861
478,0.5305
479,0.564
480,0.6033
481,0.6343
482,0.5887
483,0.5934
484,0.6093
485,0.5376
486,0.5603
487,0.6144
488,0.6043
489,0.5257
490,0.6051
491,0.5458
492,0.5678
493,0.5545
494,0.5718
495,0.578
496,0.5988
497,0.5231
498,0.5384
499,0.5019
500,0.6025
501,0.5634
502,0.4512
503,0.5844
504,0.5291
505,0.5176
506,0.5944
507,0.5471
508,0.577
509,0.5973
510,0.5056
511,0.4087
512,0.6225
513,0.5405
514,0.5566
515,0.5139
516,0.4916
517,0.5902
518,0.5977
519,0.5649
520,0.5063
521,0.4567
522,0.5669
523,0.5459
524,0.4925
525,0.5883
526,0.5737
527,0.4955
528,0.5303
529,0.475
530,0.5225
531,0.574
532,0.4784
533,0.5351
534,0.557
535,0.4377
536,0.5134
537,0.561
538,0.6437
539,0.5135
540,0.5479
541,0.5181
542,0.5174
543,0.5875
544,0.5445
545,0.5666
546,0.5412
547,0.5282
548,0.462
549,0.5672
550,0.5561
551,0.5748
552,0.5115
553,0.5592
554,0.6128
555,0.4988
556,0.4869
557,0.5558
558,0.5012
559,0.5369
560,0.5037
561,0.6121
562,0.5175
563,0.6122
564,0.5369
565,0.4943
566,0.4712
567,0.5421
568,0.5594
569,0.5125
570,0.5213
571,0.5873
572,0.5939
573,0.5352
574,0.5813
575,0.5408
576,0.582
577,0.5878
578,0.5266
579,0.5063
580,0.5427
581,0.59
582,0.5509
583,0.5839
584,0.5686
585,0.4951
586,0.5244
587,0.5331
588,0.5052
589,0.5925
590,0.5382
591,0.5351
592,0.557
593,0.5312
594,0.5481
595,0.5939
596,0.5519
597,0.6165
598,0.6153
599,0.4655
600,0.5978
601,0.529
602,0.5921
603,0.5977
604,0.6466
605,0.5694
606,0.5592
607,0.5361
608,0.5297
609,0.5101
610,0.5342
611,0.6002
612,0.5876
613,0.5963
614,0.6201
615,0.5034
616,0.5344
617,0.525
618,0.5916
619,0.5046
620,0.5359
621,0.6136
622,0.5928
623,0.548
624,0.5708
625,0.6021
