,atds
0,0.6555
1,0.6556
2,0.647
3,0.613
4,0.6618
5,0.6601
6,0.6285
7,0.6859
8,0.6324
9,0.6925
10,0.6207
11,0.6941
12,0.6889
13,0.6472
14,0.6435
15,0.6552
16,0.6937
17,0.7308
18,0.6956
19,0.6395
20,0.6426
21,0.6535
22,0.6545
23,0.6931
24,0.6919
25,0.6188
26,0.6898
27,0.6738
28,0.6938
29,0.6565
30,0.6941
31,0.6789
32,0.624
33,0.684
34,0.6566
35,0.6852
36,0.6681
37,0.6751
38,0.6858
39,0.6723
40,0.6684
41,0.6641
42,0.6085
43,0.6693
44,0.6501
45,0.6532
46,0.6671
47,0.6446
48,0.6606
49,0.6332
50,0.6472
51,0.6782
52,0.6771
53,0.6557
54,0.6652
55,0.6769
56,0.6839
57,0.6556
58,0.6908
59,0.6375
60,0.6459
61,0.6658
62,0.6594
63,0.6707
64,0.6672
65,0.6667
66,0.5943
67,0.6384
68,0.6087
69,0.657
70,0.6683
71,0.6758
72,0.6709
73,0.7363
74,0.6776
75,0.6927
76,0.6682
77,0.6294
78,0.6794
79,0.6769
80,0.6529
81,0.7129
82,0.6434
83,0.6973
84,0.6778
85,0.6513
86,0.6199
87,0.6655
88,0.665
89,0.686
90,0.6273
91,0.6416
92,0.6332
93,0.6184
94,0.648
95,0.6381
96,0.6732
97,0.6513
98,0.6573
99,0.6824
100,0.6388
101,0.6599
102,0.6926
103,0.6899
104,0.6542
105,0.6588
106,0.6991
107,0.6675
108,0.6743
109,0.6692
110,0.6346
111,0.6784
112,0.6394
113,0.6523
114,0.6653
115,0.6503
116,0.6626
117,0.6654
118,0.6472
119,0.6757
120,0.6214
121,0.6594
122,0.6729
123,0.6465
124,0.6105
125,0.672
126,0.6645
127,0.6665
128,0.6883
129,0.6399
130,0.687
131,0.6778
132,0.6654
133,0.6513
134,0.6664
135,0.656
136,0.6538
137,0.6801
138,0.6485
139,0.6311
140,0.6575
141,0.6586
142,0.6579
143,0.6591
144,0.65
145,0.6752
146,0.6353
147,0.6682
148,0.5703
149,0.6873
150,0.6993
151,0.6597
152,0.6906
153,0.6675
154,0.6797
155,0.6844
156,0.6766
157,0.6906
158,0.6771
159,0.6665
160,0.6907
161,0.7078
162,0.6346
163,0.68
164,0.6687
165,0.6492
166,0.6227
167,0.6621
168,0.6833
169,0.671
170,0.7089
171,0.6503
172,0.6732
173,0.6837
174,0.6265
175,0.7095
176,0.6795
177,0.6777
178,0.6629
179,0.6721
180,0.6615
181,0.6898
182,0.6864
183,0.6172
184,0.6501
185,0.678
186,0.6537
187,0.6677
188,0.5773
189,0.6403
190,0.6744
191,0.6821
192,0.6257
193,0.6738
