,rank
799,5
800,5
801,12
802,14
803,6
804,6
805,3
806,13
807,13
808,9
809,7
810,10
811,12
812,10
813,11
814,6
815,12
816,5
817,6
818,14
819,8
820,6
821,7
822,13
823,10
824,7
825,9
826,14
827,13
828,9
829,11
830,9
831,8
832,8
833,6
834,17
835,7
836,9
837,17
838,4
839,6
840,3
841,9
842,3
843,11
844,6
845,30
846,15
847,9
848,15
849,24
850,6
851,7
852,5
853,5
854,7
855,5
856,7
857,3
858,6
859,8
860,5
861,5
862,20
863,5
864,10
865,5
866,6
867,5
868,6
869,16
870,5
871,14
872,24
873,8
874,5
875,6
876,6
877,4
878,16
879,21
880,4
881,9
882,3
883,39
884,5
885,9
886,9
887,7
888,7
889,9
890,17
891,8
892,13
893,5
894,10
895,7
896,7
897,6
898,5
899,6
900,17
901,7
902,10
903,9
904,13
905,17
906,12
907,9
908,7
909,4
910,7
911,3
912,15
913,9
914,9
915,6
916,10
917,10
918,6
919,8
920,8
921,5
922,16
923,4
924,10
925,6
926,11
927,8
928,6
929,3
930,3
931,10
932,7
933,10
934,9
935,9
936,5
937,9
938,7
939,2
940,8
941,8
942,3
943,11
944,8
945,7
946,6
947,12
948,8
949,12
950,8
951,5
952,19
953,5
954,9
955,4
956,7
957,8
958,10
959,6
960,2
961,5
962,6
963,7
964,15
965,6
966,6
967,5
968,7
969,6
970,4
971,5
972,9
973,10
974,5
975,7
976,6
977,7
978,13
979,13
980,35
981,8
982,6
983,4
984,6
985,4
986,3
987,7
988,20
989,17
990,8
991,16
992,10
993,18
994,7
995,7
996,14
997,5
998,6
999,10
1000,16
1001,11
1002,15
1003,10
1004,19
1005,5
1006,13
1007,8
1008,8
1009,9
1010,6
1011,9
1012,6
1013,9
1014,16
1015,14
1016,8
1017,8
1018,6
1019,5
1020,5
1021,8
1022,8
1023,5
1024,5
1025,3
1026,6
1027,6
1028,7
1029,7
1030,12
1031,7
1032,4
1033,7
1034,7
1035,10
1036,5
1037,11
1038,10
1039,10
1040,28
1041,7
1042,5
1043,5
1044,9
1045,4
1046,5
1047,8
1048,10
1049,10
1050,6
1051,7
1052,4
1053,5
1054,14
1055,4
1056,4
1057,11
1058,4
1059,6
1060,15
1061,18
1062,9
1063,5
1064,7
1065,7
1066,3
1067,10
1068,22
1069,9
1070,9
1071,9
1072,44
1073,8
1074,8
1075,7
1076,8
1077,7
1078,10
1079,9
1080,9
1081,6
1082,11
1083,5
1084,9
1085,7
1086,10
1087,7
1088,4
1089,5
1090,8
1091,13
