,SB
0,5.341718406270957e-06
1,0.0016894082073122263
2,8.8693224824965e-05
3,1.955116957219616e-08
4,0.018827464431524277
5,3.98757691755236e-07
6,1.925586911966093e-05
7,0.0022418394219130278
8,2.15315812965855e-05
9,0.02285052463412285
10,0.0004222331917844713
11,9.465777839068323e-05
12,0.0007336364942602813
13,2.1051144358352758e-05
14,9.617015166440979e-05
15,0.008765391074120998
16,0.0012062370078638196
17,5.487318048835732e-07
18,3.1767322070663795e-06
19,0.00010238128015771508
20,1.587860424479004e-05
21,5.059304385213181e-06
22,2.698595380934421e-05
23,0.06700339168310165
24,6.569291599589633e-06
25,0.0011637028073891997
26,0.0002125708997482434
27,0.010225487872958183
28,0.0005604536854662001
29,0.0008413530304096639
30,0.00010652458149706945
31,0.0036092055961489677
32,0.004067074973136187
33,5.341476935427636e-05
34,0.004676814656704664
35,2.9328281016205437e-05
36,0.0009186120587401092
37,0.00020465839770622551
38,5.870334462088067e-06
39,0.012991263531148434
40,0.0003189950657542795
41,0.00011597601405810565
42,1.4446324030359392e-06
43,8.895086466509383e-06
44,3.84639497497119e-06
45,0.004009075462818146
46,0.000969088519923389
47,0.0007693476509302855
48,3.7155987229198217e-06
49,7.160156769714376e-07
50,3.7956255255267024e-05
51,5.806886292702984e-06
52,0.00013276113895699382
53,0.0006580324843525887
54,0.0031226270366460085
55,1.979248281713808e-06
56,0.00017124818987213075
57,9.292125469073653e-05
58,2.095958734571468e-06
59,1.6733569907501078e-07
60,0.008879898115992546
61,0.00030690740095451474
62,0.00047928086132742465
63,0.0011145208263769746
64,0.00014554768858943135
65,0.0017496366053819656
66,0.01421092078089714
67,0.01031159982085228
68,0.005991802550852299
69,8.083608554443344e-05
70,4.649861239158781e-06
71,0.0015653023729100823
72,0.0008970013004727662
73,6.472272798418999e-05
74,3.8164893339853734e-05
75,6.0088204918429255e-05
76,0.0006618073093704879
77,0.010023974813520908
78,0.19220998883247375
79,0.0027712248265743256
80,0.005070948973298073
81,2.455926505717798e-06
82,0.00035184022272005677
83,1.1266876754234545e-05
84,0.002058272482827306
85,2.309509227416129e-06
86,0.005227743182331324
87,0.00042619608575478196
88,1.4322750985229504e-06
89,0.00015231956786010414
90,7.025645345493103e-07
91,6.182214565342292e-05
92,3.1182580642052926e-06
93,3.690044832183048e-05
94,1.1403100870666094e-05
95,2.309442061232403e-05
96,1.273675025004195e-05
97,3.4091193811036646e-05
98,0.00983347836881876
99,0.0023542933631688356
100,0.0010317915584892035
101,0.0004452908178791404
102,1.8663784430827945e-05
103,0.043081868439912796
104,6.974708958296105e-05
105,8.719043398741633e-05
106,3.3061405702028424e-06
107,5.9454061556607485e-05
108,0.004826066549867392
109,0.0002578764106146991
110,9.048161331293159e-09
111,1.2245776815689169e-05
112,0.0017727231606841087
113,0.0005375838954932988
114,0.0004846435913350433
115,0.001408744021318853
116,0.0007150488090701401
117,6.0484535424620844e-06
118,0.051176343113183975
119,0.00011427863501012325
120,0.0004251479113008827
121,4.0301016269950196e-05
122,0.0039035200607031584
123,2.0573441361193545e-05
124,0.0012416320387274027
125,4.894224912277423e-05
126,0.26501721143722534
127,0.18416349589824677
128,9.010661301545042e-07
129,0.0007666881429031491
130,1.773549956851639e-05
131,0.0011179156135767698
132,1.1584519597818144e-05
133,0.002962493570521474
134,5.8694554354588035e-06
135,0.05440825596451759
136,5.296040853863815e-06
137,7.74838281358825e-06
138,5.664344939759758e-07
139,7.6178417657502e-05
140,1.6349639864188248e-08
141,8.72517739480827e-06
142,0.0013860511826351285
143,0.00031715197837911546
144,0.00010196083167102188
145,4.525567783275619e-05
146,0.00020551643683575094
147,9.931445674737915e-07
148,0.00010783701145555824
149,0.0025259037502110004
150,4.291184723115293e-06
151,8.604147438973087e-08
152,1.9839387732645264e-06
153,0.0006230500875972211
154,5.318491093930788e-05
155,2.8482334528234787e-05
156,1.812207483453676e-05
157,0.011865370906889439
158,5.819506441184785e-07
159,0.0003312380285933614
160,0.00015679617354180664
161,7.698110857745633e-05
162,0.0004392739792820066
163,0.08842188119888306
164,0.0005583195015788078
165,6.5739109231799375e-06
166,0.000270801450824365
167,0.00015835028898436576
168,0.010001649148762226
169,0.0011041719699278474
170,0.000977242598310113
171,0.3576722741127014
172,0.0006767083541490138
173,0.0003525200008880347
174,0.0031103938817977905
175,0.00020623640739358962
176,5.336881258699577e-06
177,7.611777982674539e-05
178,1.491319494562049e-07
179,8.81213418324478e-05
180,0.0005291535635478795
181,1.224079596795491e-06
182,4.5825046981917694e-05
