,atds
461,0.4946
462,0.5724
463,0.6118
464,0.4627
465,0.5293
466,0.5237
467,0.5288
468,0.5314
469,0.5855
470,0.6139
471,0.5684
472,0.5643
473,0.605
474,0.5575
475,0.5715
476,0.5411
477,0.5542
478,0.5885
479,0.5669
480,0.5377
481,0.5625
482,0.6081
483,0.5867
484,0.5032
485,0.5609
486,0.5698
487,0.5198
488,0.5211
489,0.557
490,0.5547
491,0.5313
492,0.608
493,0.5517
494,0.5267
495,0.5542
496,0.6056
497,0.5505
498,0.5496
499,0.5143
500,0.5502
501,0.5448
502,0.4927
503,0.5406
504,0.5721
505,0.5328
506,0.5341
507,0.5684
508,0.5886
509,0.5247
510,0.6012
511,0.5406
512,0.538
513,0.5322
514,0.5558
515,0.5265
516,0.5791
517,0.5722
518,0.5284
519,0.5264
520,0.5131
521,0.5638
522,0.5536
523,0.5793
524,0.613
525,0.5714
526,0.5475
527,0.5371
528,0.5779
529,0.5795
530,0.5614
531,0.5174
532,0.5911
533,0.5539
534,0.562
535,0.5582
536,0.5293
537,0.5029
538,0.543
539,0.5361
540,0.5733
541,0.5153
542,0.5412
543,0.5546
544,0.5533
545,0.6134
546,0.5698
547,0.5074
548,0.6074
549,0.514
550,0.583
551,0.4982
552,0.5902
553,0.6168
554,0.5493
555,0.5826
556,0.5205
557,0.5518
558,0.5947
559,0.4737
560,0.5503
561,0.5232
562,0.5874
563,0.5546
564,0.4998
565,0.5153
566,0.5903
567,0.5891
568,0.5363
569,0.5566
570,0.5581
571,0.5207
572,0.4995
573,0.5267
574,0.5555
575,0.5943
576,0.5562
577,0.6016
578,0.5108
579,0.5927
580,0.5303
581,0.496
582,0.548
583,0.5735
584,0.5883
585,0.5268
586,0.4919
587,0.5761
588,0.5135
589,0.5817
590,0.5638
591,0.5896
592,0.5384
593,0.5547
594,0.5674
595,0.5164
596,0.528
597,0.5736
598,0.552
599,0.5522
600,0.5025
601,0.5487
602,0.5776
603,0.5057
604,0.5812
605,0.5313
606,0.5236
607,0.5924
608,0.4711
609,0.555
610,0.5283
611,0.5584
612,0.5546
613,0.4838
614,0.5684
615,0.5407
616,0.5841
617,0.5321
618,0.5033
619,0.5295
620,0.5383
621,0.5591
622,0.5147
623,0.5185
624,0.5473
625,0.5631
626,0.5043
627,0.5597
628,0.5973
629,0.57
630,0.5631
631,0.5249
632,0.5416
633,0.5404
634,0.4469
635,0.5379
636,0.5856
637,0.5851
638,0.5482
639,0.5846
640,0.5691
641,0.5683
642,0.5135
643,0.5195
644,0.5861
645,0.5538
646,0.4798
647,0.601
648,0.6099
649,0.5373
650,0.588
651,0.5439
652,0.5518
653,0.6117
654,0.536
655,0.6181
656,0.5467
657,0.5471
658,0.5674
659,0.5505
660,0.545
661,0.6028
662,0.5929
663,0.4817
664,0.4959
665,0.5304
666,0.5429
667,0.5356
668,0.5515
669,0.5848
670,0.4781
671,0.5826
672,0.5348
673,0.5355
674,0.616
675,0.5427
676,0.5809
677,0.5881
678,0.5295
679,0.5293
680,0.5276
681,0.5412
682,0.5899
683,0.5863
684,0.6134
685,0.5783
686,0.576
687,0.5769
688,0.5968
689,0.567
690,0.4922
691,0.5569
692,0.5325
693,0.5871
694,0.541
695,0.4911
696,0.5166
697,0.5644
698,0.5679
699,0.5447
700,0.6207
701,0.5086
702,0.594
703,0.5578
704,0.5396
705,0.5595
706,0.535
707,0.583
708,0.5784
709,0.574
710,0.5703
711,0.5639
712,0.554
713,0.543
714,0.5534
715,0.5614
716,0.5705
717,0.5454
718,0.5945
719,0.5791
720,0.5057
721,0.5794
722,0.5765
723,0.5304
724,0.514
725,0.5319
726,0.5325
727,0.5301
728,0.5238
729,0.599
730,0.5511
731,0.5517
732,0.5158
733,0.5635
734,0.5578
735,0.5166
736,0.5632
737,0.5585
738,0.6054
739,0.5285
740,0.526
741,0.5273
742,0.5661
743,0.5587
744,0.5006
745,0.5512
746,0.5428
747,0.5313
748,0.5339
749,0.5084
750,0.5902
751,0.5625
752,0.5135
753,0.5393
754,0.5371
755,0.5859
756,0.584
757,0.533
758,0.5686
759,0.5434
760,0.5428
761,0.5409
762,0.5118
763,0.5133
764,0.4817
765,0.5428
766,0.5388
767,0.5628
768,0.5105
769,0.5459
770,0.5769
771,0.5767
772,0.5056
773,0.5323
774,0.5273
775,0.5367
776,0.5769
777,0.5881
778,0.5249
779,0.5493
780,0.5497
781,0.5454
782,0.5056
783,0.5162
784,0.5229
785,0.5264
786,0.5641
787,0.5176
788,0.5952
789,0.5204
790,0.5554
791,0.5681
792,0.5969
793,0.6182
794,0.5518
795,0.529
796,0.5599
797,0.4991
798,0.4956
799,0.5953
800,0.5819
801,0.558
802,0.5607
803,0.5912
804,0.5675
805,0.5931
806,0.5207
807,0.5666
808,0.5391
809,0.5498
810,0.5894
811,0.599
812,0.6031
813,0.5684
814,0.5161
815,0.6
816,0.5613
817,0.557
818,0.5496
819,0.4598
820,0.5833
821,0.5665
822,0.5052
823,0.5737
824,0.5355
825,0.5441
826,0.5461
827,0.5524
828,0.5345
829,0.561
830,0.4592
831,0.5883
832,0.5483
833,0.549
834,0.5168
835,0.5574
836,0.5951
837,0.6098
838,0.6043
839,0.5953
840,0.5201
841,0.5195
842,0.558
843,0.5365
844,0.6067
845,0.5748
846,0.5325
847,0.5398
848,0.6023
849,0.5642
850,0.5558
851,0.565
852,0.5375
853,0.5878
854,0.4961
855,0.581
856,0.5244
857,0.5843
858,0.5015
859,0.5802
860,0.5739
861,0.5713
862,0.5173
863,0.5181
864,0.5394
865,0.4802
866,0.5759
867,0.576
868,0.5269
869,0.5732
870,0.5338
871,0.569
872,0.5358
873,0.466
874,0.532
875,0.5916
876,0.5632
877,0.5546
878,0.5614
879,0.5313
880,0.4848
881,0.5807
882,0.5079
883,0.5246
884,0.5587
885,0.5443
886,0.5905
887,0.5439
888,0.574
889,0.5751
890,0.5642
891,0.5292
892,0.5259
893,0.5319
894,0.594
895,0.6081
896,0.6098
897,0.5349
898,0.5732
899,0.5359
900,0.4918
901,0.5304
902,0.5914
903,0.5199
904,0.5778
905,0.5488
906,0.5653
907,0.5469
908,0.5479
909,0.6294
910,0.5241
911,0.5213
912,0.5778
913,0.5061
914,0.5122
915,0.5114
916,0.4529
917,0.4956
918,0.5702
919,0.5538
920,0.5423
921,0.5706
922,0.5521
923,0.5979
924,0.5344
925,0.5463
926,0.5441
927,0.594
928,0.6458
929,0.5953
930,0.5608
931,0.5499
932,0.568
933,0.5469
934,0.5289
935,0.5384
936,0.593
937,0.5373
938,0.5396
939,0.5304
940,0.5376
941,0.549
942,0.5414
943,0.5397
944,0.5397
945,0.5736
946,0.5485
947,0.5437
948,0.5273
949,0.6043
950,0.4735
951,0.5849
952,0.4653
953,0.5609
954,0.4915
955,0.6006
956,0.5836
957,0.5312
958,0.5217
959,0.515
960,0.5879
961,0.5734
962,0.5198
963,0.563
964,0.5405
965,0.5394
966,0.4564
967,0.5232
968,0.5402
969,0.5558
970,0.5514
971,0.592
972,0.5329
973,0.5779
974,0.609
975,0.5899
976,0.5619
977,0.5469
978,0.5805
979,0.557
980,0.5132
981,0.5438
982,0.518
983,0.5193
984,0.5497
985,0.5535
986,0.5212
987,0.5736
988,0.5408
989,0.5786
990,0.6051
991,0.505
992,0.5619
993,0.5653
994,0.5711
995,0.5617
996,0.568
997,0.5029
998,0.5203
999,0.5822
1000,0.4999
1001,0.5612
1002,0.5636
1003,0.524
1004,0.5594
1005,0.5379
1006,0.5539
1007,0.5348
1008,0.6094
1009,0.5589
1010,0.5711
1011,0.5393
1012,0.6336
1013,0.5212
1014,0.5342
1015,0.5705
1016,0.5138
1017,0.5067
1018,0.5353
1019,0.5587
1020,0.6134
1021,0.5744
1022,0.5129
1023,0.4793
1024,0.5585
1025,0.5557
1026,0.5715
1027,0.5258
1028,0.5544
1029,0.5725
1030,0.5524
1031,0.5363
1032,0.6064
1033,0.4972
1034,0.537
1035,0.5946
1036,0.542
1037,0.5664
1038,0.5389
1039,0.5881
1040,0.5871
1041,0.5644
1042,0.5676
1043,0.5359
1044,0.4606
1045,0.4687
1046,0.4923
1047,0.5474
1048,0.5814
1049,0.5099
1050,0.565
1051,0.5777
1052,0.5884
1053,0.5572
1054,0.563
1055,0.5974
1056,0.5108
1057,0.5562
1058,0.6142
1059,0.574
1060,0.5707
1061,0.5407
1062,0.53
1063,0.5513
1064,0.521
1065,0.6099
1066,0.5176
1067,0.6116
1068,0.5484
1069,0.5765
1070,0.5649
1071,0.5408
1072,0.5457
1073,0.5073
1074,0.5788
1075,0.5549
1076,0.5301
1077,0.5827
1078,0.5907
1079,0.5413
1080,0.5996
1081,0.5444
1082,0.4844
1083,0.5486
1084,0.4923
1085,0.5291
1086,0.5586
1087,0.5559
1088,0.5552
1089,0.5588
1090,0.5393
1091,0.5425
1092,0.5355
1093,0.4964
1094,0.5274
1095,0.4994
1096,0.5676
1097,0.539
1098,0.4978
1099,0.5687
1100,0.5659
1101,0.571
1102,0.5017
1103,0.5346
1104,0.5764
1105,0.5376
1106,0.5354
1107,0.5888
1108,0.4645
1109,0.5957
1110,0.5492
1111,0.5516
1112,0.5747
1113,0.4725
1114,0.5824
1115,0.5696
1116,0.5753
1117,0.5507
1118,0.5499
1119,0.4395
1120,0.5481
1121,0.5896
1122,0.5551
1123,0.5182
1124,0.5534
1125,0.5413
1126,0.5098
1127,0.5922
1128,0.5489
1129,0.5158
1130,0.5219
1131,0.5599
1132,0.6029
1133,0.5289
1134,0.541
1135,0.5647
1136,0.5687
1137,0.5289
1138,0.5768
1139,0.5017
1140,0.5824
1141,0.516
1142,0.5822
1143,0.5467
1144,0.613
1145,0.5532
1146,0.5765
1147,0.541
1148,0.5725
1149,0.5401
1150,0.5884
1151,0.6037
1152,0.4961
1153,0.5594
1154,0.571
1155,0.6232
1156,0.5775
1157,0.5768
1158,0.5988
1159,0.5498
1160,0.5813
1161,0.5551
1162,0.5553
1163,0.5671
1164,0.5098
1165,0.5409
1166,0.5375
1167,0.5737
1168,0.5568
1169,0.5955
1170,0.5947
1171,0.527
1172,0.5724
1173,0.5762
1174,0.5713
1175,0.5779
1176,0.6247
1177,0.5
1178,0.5299
1179,0.5909
1180,0.5389
1181,0.4772
1182,0.5588
1183,0.564
1184,0.5105
1185,0.5803
1186,0.5819
1187,0.558
1188,0.5189
1189,0.5345
1190,0.5921
1191,0.5131
1192,0.5033
1193,0.5482
1194,0.5933
1195,0.528
1196,0.5255
1197,0.5067
1198,0.6073
1199,0.5265
1200,0.6006
1201,0.5475
1202,0.5828
1203,0.5536
1204,0.5128
1205,0.5312
1206,0.5577
1207,0.5061
1208,0.5675
1209,0.5571
1210,0.4915
1211,0.5545
1212,0.5767
1213,0.5696
1214,0.599
1215,0.4927
1216,0.5585
1217,0.5321
1218,0.5455
1219,0.5371
1220,0.5089
1221,0.5194
1222,0.522
1223,0.5464
1224,0.5639
1225,0.5772
1226,0.5171
1227,0.5762
1228,0.5745
1229,0.5565
1230,0.4825
1231,0.5258
1232,0.5305
1233,0.5861
