,rank
799,5
800,9
801,3
802,7
803,6
804,3
805,7
806,9
807,6
808,3
809,10
810,4
811,2
812,4
813,8
814,7
815,7
816,14
817,2
818,5
819,6
820,5
821,6
822,4
823,5
824,8
825,8
826,8
827,13
828,8
829,7
830,8
831,8
832,5
833,3
834,6
835,5
836,5
837,3
838,5
839,10
840,8
841,5
842,7
843,4
844,9
845,6
846,5
847,7
848,4
849,5
850,7
851,5
852,6
853,2
854,6
855,10
856,6
857,7
858,7
859,2
860,6
861,5
862,7
863,6
864,7
865,7
866,12
867,7
868,9
869,6
870,5
871,4
872,6
873,6
874,5
875,3
876,7
877,6
878,7
879,2
880,4
881,6
882,4
883,5
884,5
885,7
886,8
887,7
888,4
889,5
890,5
891,6
892,2
893,5
894,8
895,4
896,6
897,8
898,7
899,5
900,7
901,6
902,7
903,8
904,7
905,5
906,9
907,2
908,3
909,10
910,7
911,11
912,7
913,8
914,6
915,5
916,2
917,10
918,5
919,6
920,3
921,9
922,6
923,8
924,5
925,5
926,8
927,6
928,5
929,6
930,1
931,9
932,6
933,5
934,6
935,5
936,7
937,6
938,3
939,5
940,7
941,5
942,3
943,6
944,6
945,7
946,8
947,4
948,3
949,6
950,4
951,6
952,7
953,4
954,4
955,6
956,5
957,6
958,11
959,9
960,7
961,7
962,7
963,7
964,7
965,8
966,8
967,6
968,7
969,9
970,8
971,3
972,7
973,7
974,2
975,6
976,10
977,5
978,8
979,5
980,6
981,9
982,7
983,7
984,4
985,9
986,4
987,2
988,7
989,5
990,3
991,5
992,5
993,3
994,2
995,6
996,5
997,4
998,4
999,6
1000,6
1001,8
1002,6
1003,6
1004,2
1005,9
1006,6
1007,6
1008,7
1009,9
1010,4
1011,8
1012,6
1013,10
1014,4
1015,8
1016,6
1017,8
1018,5
1019,8
1020,7
1021,6
1022,11
1023,4
1024,8
1025,9
1026,5
1027,6
1028,6
1029,5
1030,5
1031,7
1032,2
1033,6
1034,6
1035,5
1036,12
1037,4
1038,4
1039,5
1040,7
1041,5
1042,12
1043,4
1044,4
1045,3
1046,4
1047,10
1048,5
1049,8
1050,5
1051,4
1052,5
1053,5
1054,2
1055,10
1056,7
1057,3
1058,4
1059,8
1060,7
1061,9
1062,6
1063,4
1064,6
1065,7
1066,6
1067,2
1068,3
1069,9
1070,10
1071,8
1072,8
1073,6
1074,2
1075,6
1076,7
1077,7
1078,5
1079,7
1080,7
1081,6
1082,10
1083,7
1084,3
1085,4
1086,7
1087,5
1088,7
1089,3
1090,7
1091,7
1092,7
1093,13
1094,6
1095,8
1096,6
1097,5
1098,8
1099,6
1100,5
1101,6
1102,3
1103,6
1104,5
1105,5
1106,6
1107,8
1108,10
1109,7
1110,12
1111,6
1112,14
1113,5
1114,10
1115,2
1116,5
1117,6
1118,3
1119,7
1120,7
1121,10
1122,7
1123,6
1124,7
1125,5
1126,7
1127,7
1128,4
1129,4
1130,7
1131,6
1132,8
1133,5
1134,6
1135,6
1136,5
1137,5
1138,3
1139,5
1140,3
1141,10
1142,2
1143,7
1144,4
1145,11
1146,8
1147,7
1148,11
1149,3
1150,6
1151,7
1152,6
1153,10
1154,6
1155,7
1156,5
1157,9
1158,4
1159,7
1160,7
1161,5
1162,6
1163,7
1164,7
1165,5
1166,4
1167,6
1168,9
1169,5
1170,5
1171,4
1172,6
1173,9
1174,9
1175,6
1176,6
1177,6
1178,7
1179,11
1180,7
1181,4
1182,4
1183,4
1184,5
1185,5
1186,6
1187,8
1188,4
1189,4
1190,9
1191,11
1192,4
1193,5
1194,5
1195,3
1196,5
1197,7
1198,7
1199,7
1200,6
1201,6
1202,5
1203,6
1204,7
1205,4
1206,7
1207,2
1208,7
1209,9
1210,1
1211,8
1212,2
1213,6
1214,6
1215,6
1216,3
1217,7
1218,7
1219,5
1220,8
1221,5
1222,5
1223,6
1224,2
1225,9
1226,6
1227,7
1228,11
1229,10
1230,9
1231,11
1232,2
1233,3
1234,7
1235,5
1236,7
1237,6
1238,4
1239,10
1240,8
1241,6
1242,6
1243,3
1244,6
1245,2
1246,9
1247,11
1248,3
1249,4
1250,4
1251,5
1252,8
1253,5
1254,3
1255,7
1256,9
1257,3
1258,6
1259,6
1260,8
1261,9
1262,4
1263,4
1264,6
1265,6
1266,5
1267,5
1268,8
1269,8
1270,6
1271,5
1272,6
1273,4
