,atds
463,0.6314
464,0.6304
465,0.6591
466,0.6397
467,0.6356
468,0.679
469,0.5866
470,0.6376
471,0.62
472,0.6555
473,0.6064
474,0.6217
475,0.5953
476,0.6299
477,0.6421
478,0.6409
479,0.6825
480,0.623
481,0.486
482,0.6635
483,0.6305
484,0.6804
485,0.6255
486,0.5876
487,0.6411
488,0.6137
489,0.6476
490,0.6533
491,0.6572
492,0.6612
493,0.6413
494,0.6279
495,0.6833
496,0.6532
497,0.6447
498,0.6198
499,0.6393
500,0.6219
501,0.6346
502,0.6476
503,0.6313
504,0.637
505,0.6733
506,0.656
507,0.6597
508,0.6785
509,0.6563
510,0.6194
511,0.659
512,0.6604
513,0.61
514,0.6416
515,0.6416
516,0.6423
517,0.612
518,0.6206
519,0.6845
520,0.5959
521,0.6546
522,0.5995
523,0.6523
524,0.6434
525,0.6771
526,0.6703
527,0.601
528,0.6978
529,0.6557
530,0.6247
531,0.6345
532,0.6545
533,0.6325
534,0.6418
535,0.6276
536,0.6348
537,0.6172
538,0.5678
539,0.6635
540,0.6853
541,0.6773
542,0.6505
543,0.658
544,0.6069
545,0.6401
546,0.6377
547,0.6953
548,0.6419
549,0.5976
550,0.6459
551,0.653
552,0.5446
553,0.6548
554,0.657
555,0.6399
556,0.6322
557,0.5922
558,0.6353
559,0.6283
560,0.6621
561,0.646
562,0.6316
563,0.6553
564,0.6294
565,0.6563
566,0.6476
567,0.6243
568,0.5944
569,0.6465
570,0.6067
571,0.6809
572,0.6767
573,0.6433
574,0.6651
575,0.6554
576,0.6258
577,0.6293
578,0.6279
579,0.6536
580,0.6867
581,0.671
582,0.6679
583,0.6473
584,0.6313
585,0.6685
586,0.5849
587,0.676
588,0.6574
589,0.6536
590,0.6365
591,0.6412
592,0.6477
593,0.644
594,0.6205
595,0.6642
596,0.6355
597,0.6905
598,0.6306
599,0.6764
600,0.6129
601,0.6071
602,0.6212
603,0.6355
604,0.6808
605,0.6527
606,0.6622
607,0.6195
608,0.6364
609,0.6733
610,0.7059
611,0.607
612,0.6471
