target_lang,donor_lang,atds
punjabi,hindi-clustered557,0.687
punjabi,hindi-clustered323,0.687
punjabi,hindi-clustered813,0.687
punjabi,hindi-clustered766,0.687
punjabi,hindi-clustered555,0.687
punjabi,hindi-clustered879,0.687
punjabi,hindi-clustered859,0.686
punjabi,hindi-clustered429,0.686
punjabi,hindi-clustered23,0.686
punjabi,hindi-clustered182,0.686
punjabi,hindi-clustered140,0.686
punjabi,hindi-clustered818,0.686
punjabi,hindi-clustered464,0.686
punjabi,hindi-clustered526,0.686
punjabi,hindi-clustered195,0.686
punjabi,hindi-clustered11,0.686
punjabi,hindi-clustered888,0.686
punjabi,hindi-clustered5,0.685
punjabi,hindi-clustered694,0.685
punjabi,hindi-clustered186,0.685
punjabi,hindi-clustered725,0.685
punjabi,hindi-clustered668,0.685
punjabi,hindi-clustered25,0.685
punjabi,hindi-clustered130,0.684
punjabi,hindi-clustered462,0.684
punjabi,hindi-clustered509,0.684
punjabi,hindi-clustered438,0.684
punjabi,hindi-clustered217,0.684
punjabi,hindi-clustered81,0.684
punjabi,hindi-clustered176,0.684
punjabi,hindi-clustered860,0.684
punjabi,hindi-clustered22,0.684
punjabi,hindi-clustered117,0.684
punjabi,hindi-clustered628,0.684
punjabi,hindi-clustered475,0.684
punjabi,hindi-clustered258,0.684
punjabi,hindi-clustered218,0.684
punjabi,hindi-clustered181,0.684
punjabi,hindi-clustered542,0.683
punjabi,hindi-clustered31,0.683
punjabi,hindi-clustered98,0.683
punjabi,hindi-clustered924,0.683
punjabi,hindi-clustered246,0.683
punjabi,hindi-clustered401,0.682
punjabi,hindi-clustered951,0.682
punjabi,hindi-clustered773,0.682
punjabi,hindi-clustered102,0.682
punjabi,hindi-clustered931,0.682
punjabi,hindi-clustered723,0.682
punjabi,hindi-clustered479,0.682
punjabi,hindi-clustered444,0.682
punjabi,hindi-clustered299,0.682
punjabi,hindi-clustered832,0.681
punjabi,hindi-clustered99,0.681
punjabi,hindi-clustered193,0.681
punjabi,hindi-clustered131,0.681
punjabi,hindi-clustered37,0.681
punjabi,hindi-clustered304,0.681
punjabi,hindi-clustered603,0.681
punjabi,hindi-clustered734,0.68
punjabi,hindi-clustered267,0.68
punjabi,hindi-clustered762,0.68
punjabi,hindi-clustered850,0.68
punjabi,hindi-clustered718,0.68
punjabi,hindi-clustered704,0.68
punjabi,hindi-clustered589,0.68
punjabi,hindi-clustered212,0.68
punjabi,hindi-clustered434,0.68
punjabi,hindi-clustered295,0.68
punjabi,hindi-clustered6,0.68
punjabi,hindi-clustered570,0.68
punjabi,hindi-clustered987,0.68
punjabi,hindi-clustered819,0.68
punjabi,hindi-clustered943,0.679
punjabi,hindi-clustered898,0.679
punjabi,hindi-clustered590,0.679
punjabi,hindi-clustered625,0.679
punjabi,hindi-clustered205,0.679
punjabi,hindi-clustered751,0.679
punjabi,hindi-clustered967,0.679
punjabi,hindi-clustered782,0.679
punjabi,hindi-clustered80,0.679
punjabi,hindi-clustered721,0.678
punjabi,hindi-clustered680,0.678
punjabi,hindi-clustered890,0.678
punjabi,hindi-clustered237,0.678
punjabi,hindi-clustered955,0.678
punjabi,hindi-clustered613,0.678
punjabi,hindi-clustered875,0.678
punjabi,hindi-clustered687,0.678
punjabi,hindi-clustered296,0.678
punjabi,hindi-clustered591,0.678
punjabi,hindi-clustered90,0.678
punjabi,hindi-clustered644,0.678
punjabi,hindi-clustered17,0.678
punjabi,hindi-clustered393,0.678
punjabi,hindi-clustered449,0.678
punjabi,hindi-clustered545,0.678
punjabi,hindi-clustered701,0.678
punjabi,hindi-clustered432,0.677
punjabi,hindi-clustered194,0.677
punjabi,hindi-clustered949,0.677
punjabi,hindi-clustered519,0.677
punjabi,hindi-clustered381,0.677
punjabi,hindi-clustered899,0.677
punjabi,hindi-clustered536,0.677
punjabi,hindi-clustered809,0.677
punjabi,hindi-clustered736,0.677
punjabi,hindi-clustered602,0.677
punjabi,hindi-clustered502,0.676
punjabi,hindi-clustered43,0.676
punjabi,hindi-clustered988,0.676
punjabi,hindi-clustered2,0.676
punjabi,hindi-clustered605,0.676
punjabi,hindi-clustered317,0.676
punjabi,hindi-clustered163,0.676
punjabi,hindi-clustered942,0.676
punjabi,hindi-clustered936,0.676
punjabi,hindi-clustered266,0.676
punjabi,hindi-clustered453,0.676
punjabi,hindi-clustered294,0.676
punjabi,hindi-clustered843,0.676
punjabi,hindi-clustered226,0.675
punjabi,hindi-clustered129,0.675
punjabi,hindi-clustered774,0.675
punjabi,hindi-clustered446,0.675
punjabi,hindi-clustered392,0.675
punjabi,hindi-clustered612,0.675
punjabi,hindi-clustered230,0.675
punjabi,hindi-clustered720,0.675
punjabi,hindi-clustered228,0.675
punjabi,hindi-clustered837,0.675
punjabi,hindi-clustered485,0.675
punjabi,hindi-clustered693,0.675
punjabi,hindi-clustered909,0.674
punjabi,hindi-clustered389,0.674
punjabi,hindi-clustered827,0.674
punjabi,hindi-clustered13,0.674
punjabi,hindi-clustered279,0.674
punjabi,hindi-clustered216,0.674
punjabi,hindi-clustered618,0.674
punjabi,hindi-clustered863,0.674
punjabi,hindi-clustered965,0.674
punjabi,hindi-clustered40,0.674
punjabi,hindi-clustered616,0.674
punjabi,hindi-clustered133,0.674
punjabi,hindi-clustered8,0.674
punjabi,hindi-clustered136,0.674
punjabi,hindi-clustered537,0.673
punjabi,hindi-clustered166,0.673
punjabi,hindi-clustered838,0.673
punjabi,hindi-clustered106,0.673
punjabi,hindi-clustered564,0.673
punjabi,hindi-clustered224,0.673
punjabi,hindi-clustered900,0.673
punjabi,hindi-clustered270,0.673
punjabi,hindi-clustered312,0.673
punjabi,hindi-clustered767,0.673
punjabi,hindi-clustered474,0.673
punjabi,hindi-clustered761,0.673
punjabi,hindi-clustered567,0.673
punjabi,hindi-clustered388,0.673
punjabi,hindi-clustered707,0.673
punjabi,hindi-clustered901,0.673
punjabi,hindi-clustered342,0.673
punjabi,hindi-clustered200,0.672
punjabi,hindi-clustered85,0.672
punjabi,hindi-clustered121,0.672
punjabi,hindi-clustered771,0.672
punjabi,hindi-clustered873,0.672
punjabi,hindi-clustered870,0.672
punjabi,hindi-clustered917,0.672
punjabi,hindi-clustered897,0.672
punjabi,hindi-clustered764,0.672
punjabi,hindi-clustered877,0.672
punjabi,hindi-clustered353,0.672
punjabi,hindi-clustered325,0.672
punjabi,hindi-clustered135,0.672
punjabi,hindi-clustered21,0.672
punjabi,hindi-clustered641,0.672
punjabi,hindi-clustered952,0.672
punjabi,hindi-clustered215,0.672
punjabi,hindi-clustered552,0.671
punjabi,hindi-clustered273,0.671
punjabi,hindi-clustered4,0.671
punjabi,hindi-clustered487,0.671
punjabi,hindi-clustered752,0.671
punjabi,hindi-clustered811,0.671
punjabi,hindi-clustered77,0.671
punjabi,hindi-clustered920,0.671
punjabi,hindi-clustered623,0.671
punjabi,hindi-clustered269,0.671
punjabi,hindi-clustered855,0.67
punjabi,hindi-clustered101,0.67
punjabi,hindi-clustered171,0.67
punjabi,hindi-clustered480,0.67
punjabi,hindi-clustered584,0.67
punjabi,hindi-clustered402,0.67
punjabi,hindi-clustered861,0.67
punjabi,hindi-clustered321,0.67
punjabi,hindi-clustered599,0.67
punjabi,hindi-clustered638,0.67
punjabi,hindi-clustered983,0.67
punjabi,hindi-clustered960,0.67
punjabi,hindi-clustered713,0.67
punjabi,hindi-clustered173,0.67
punjabi,hindi-clustered733,0.669
punjabi,hindi-clustered865,0.669
punjabi,hindi-clustered426,0.669
punjabi,hindi-clustered467,0.669
punjabi,hindi-clustered596,0.669
punjabi,hindi-clustered53,0.669
punjabi,hindi-clustered540,0.669
punjabi,hindi-clustered103,0.669
punjabi,hindi-clustered329,0.669
punjabi,hindi-clustered427,0.669
punjabi,hindi-clustered84,0.669
punjabi,hindi-clustered553,0.669
punjabi,hindi-clustered275,0.669
punjabi,hindi-clustered234,0.669
punjabi,hindi-clustered118,0.669
punjabi,hindi-clustered501,0.669
punjabi,hindi-clustered510,0.669
punjabi,hindi-clustered222,0.669
punjabi,hindi-clustered690,0.669
punjabi,hindi-clustered92,0.668
punjabi,hindi-clustered280,0.668
punjabi,hindi-clustered243,0.668
punjabi,hindi-clustered481,0.668
punjabi,hindi-clustered443,0.668
punjabi,hindi-clustered768,0.668
punjabi,hindi-clustered600,0.668
punjabi,hindi-clustered347,0.668
punjabi,hindi-clustered425,0.668
punjabi,hindi-clustered824,0.668
punjabi,hindi-clustered491,0.668
punjabi,hindi-clustered800,0.668
punjabi,hindi-clustered624,0.668
punjabi,hindi-clustered997,0.668
punjabi,hindi-clustered516,0.668
punjabi,hindi-clustered458,0.668
punjabi,hindi-clustered548,0.668
punjabi,hindi-clustered319,0.668
punjabi,hindi-clustered505,0.667
punjabi,hindi-clustered79,0.667
punjabi,hindi-clustered358,0.667
punjabi,hindi-clustered357,0.667
punjabi,hindi-clustered634,0.667
punjabi,hindi-clustered844,0.667
punjabi,hindi-clustered653,0.666
punjabi,hindi-clustered245,0.666
punjabi,hindi-clustered153,0.666
punjabi,hindi-clustered777,0.666
punjabi,hindi-clustered572,0.666
punjabi,hindi-clustered192,0.666
punjabi,hindi-clustered49,0.666
punjabi,hindi-clustered586,0.666
punjabi,hindi-clustered409,0.666
punjabi,hindi-clustered574,0.666
punjabi,hindi-clustered125,0.666
punjabi,hindi-clustered356,0.666
punjabi,hindi-clustered857,0.666
punjabi,hindi-clustered177,0.666
punjabi,hindi-clustered146,0.666
punjabi,hindi-clustered142,0.666
punjabi,hindi-clustered754,0.666
punjabi,hindi-clustered507,0.666
punjabi,hindi-clustered3,0.666
punjabi,hindi-clustered420,0.665
punjabi,hindi-clustered979,0.665
punjabi,hindi-clustered881,0.665
punjabi,hindi-clustered210,0.665
punjabi,hindi-clustered360,0.665
punjabi,hindi-clustered607,0.665
punjabi,hindi-clustered498,0.665
punjabi,hindi-clustered926,0.665
punjabi,hindi-clustered288,0.665
punjabi,hindi-clustered637,0.665
punjabi,hindi-clustered524,0.664
punjabi,hindi-clustered882,0.664
punjabi,hindi-clustered961,0.664
punjabi,hindi-clustered52,0.664
punjabi,hindi-clustered86,0.664
punjabi,hindi-clustered533,0.664
punjabi,hindi-clustered633,0.664
punjabi,hindi-clustered203,0.664
punjabi,hindi-clustered549,0.664
punjabi,hindi-clustered346,0.664
punjabi,hindi-clustered928,0.664
punjabi,hindi-clustered816,0.664
punjabi,hindi-clustered512,0.664
punjabi,hindi-clustered864,0.663
punjabi,hindi-clustered793,0.663
punjabi,hindi-clustered698,0.663
punjabi,hindi-clustered592,0.663
punjabi,hindi-clustered108,0.663
punjabi,hindi-clustered565,0.663
punjabi,hindi-clustered546,0.663
punjabi,hindi-clustered367,0.663
punjabi,hindi-clustered178,0.663
punjabi,hindi-clustered654,0.663
punjabi,hindi-clustered465,0.663
punjabi,hindi-clustered147,0.663
punjabi,hindi-clustered543,0.663
punjabi,hindi-clustered431,0.663
punjabi,hindi-clustered717,0.663
punjabi,hindi-clustered151,0.663
punjabi,hindi-clustered834,0.663
punjabi,hindi-clustered451,0.662
punjabi,hindi-clustered741,0.662
punjabi,hindi-clustered786,0.662
punjabi,hindi-clustered666,0.662
punjabi,hindi-clustered675,0.662
punjabi,hindi-clustered775,0.662
punjabi,hindi-clustered790,0.662
punjabi,hindi-clustered484,0.662
punjabi,hindi-clustered895,0.662
punjabi,hindi-clustered132,0.662
punjabi,hindi-clustered445,0.662
punjabi,hindi-clustered511,0.662
punjabi,hindi-clustered972,0.662
punjabi,hindi-clustered337,0.662
punjabi,hindi-clustered885,0.662
punjabi,hindi-clustered561,0.662
punjabi,hindi-clustered953,0.661
punjabi,hindi-clustered935,0.661
punjabi,hindi-clustered597,0.661
punjabi,hindi-clustered601,0.661
punjabi,hindi-clustered711,0.661
punjabi,hindi-clustered604,0.661
punjabi,hindi-clustered180,0.661
punjabi,hindi-clustered74,0.661
punjabi,hindi-clustered823,0.661
punjabi,hindi-clustered232,0.661
punjabi,hindi-clustered395,0.661
punjabi,hindi-clustered349,0.661
punjabi,hindi-clustered621,0.661
punjabi,hindi-clustered116,0.661
punjabi,hindi-clustered645,0.66
punjabi,hindi-clustered468,0.66
punjabi,hindi-clustered472,0.66
punjabi,hindi-clustered139,0.66
punjabi,hindi-clustered382,0.66
punjabi,hindi-clustered886,0.66
punjabi,hindi-clustered72,0.66
punjabi,hindi-clustered167,0.66
punjabi,hindi-clustered175,0.66
punjabi,hindi-clustered566,0.66
punjabi,hindi-clustered62,0.66
punjabi,hindi-clustered110,0.66
punjabi,hindi-clustered235,0.66
punjabi,hindi-clustered111,0.66
punjabi,hindi-clustered649,0.66
punjabi,hindi-clustered134,0.66
punjabi,hindi-clustered805,0.66
punjabi,hindi-clustered66,0.66
punjabi,hindi-clustered746,0.659
punjabi,hindi-clustered112,0.659
punjabi,hindi-clustered760,0.659
punjabi,hindi-clustered289,0.659
punjabi,hindi-clustered667,0.659
punjabi,hindi-clustered355,0.659
punjabi,hindi-clustered169,0.659
punjabi,hindi-clustered373,0.659
punjabi,hindi-clustered683,0.659
punjabi,hindi-clustered648,0.659
punjabi,hindi-clustered368,0.659
punjabi,hindi-clustered712,0.659
punjabi,hindi-clustered608,0.659
punjabi,hindi-clustered310,0.659
punjabi,hindi-clustered457,0.659
punjabi,hindi-clustered322,0.659
punjabi,hindi-clustered73,0.659
punjabi,hindi-clustered233,0.659
punjabi,hindi-clustered518,0.659
punjabi,hindi-clustered391,0.659
punjabi,hindi-clustered339,0.658
punjabi,hindi-clustered651,0.658
punjabi,hindi-clustered508,0.658
punjabi,hindi-clustered497,0.658
punjabi,hindi-clustered610,0.658
punjabi,hindi-clustered655,0.658
punjabi,hindi-clustered423,0.658
punjabi,hindi-clustered686,0.658
punjabi,hindi-clustered54,0.658
punjabi,hindi-clustered929,0.658
punjabi,hindi-clustered214,0.658
punjabi,hindi-clustered372,0.658
punjabi,hindi-clustered64,0.658
punjabi,hindi-clustered702,0.658
punjabi,hindi-clustered716,0.658
punjabi,hindi-clustered156,0.658
punjabi,hindi-clustered394,0.658
punjabi,hindi-clustered794,0.657
punjabi,hindi-clustered769,0.657
punjabi,hindi-clustered486,0.657
punjabi,hindi-clustered948,0.657
punjabi,hindi-clustered471,0.657
punjabi,hindi-clustered264,0.657
punjabi,hindi-clustered113,0.657
