,atds
0,0.5903
1,0.6525
2,0.6743
3,0.6635
4,0.654
5,0.6571
6,0.6926
7,0.6647
8,0.6661
9,0.6571
10,0.7067
11,0.6656
12,0.6468
13,0.6619
14,0.6844
15,0.6689
16,0.6328
17,0.6579
18,0.6672
19,0.6731
20,0.6886
21,0.667
22,0.6502
23,0.6401
24,0.6398
25,0.65
26,0.6883
27,0.6605
28,0.6902
29,0.6633
30,0.6525
31,0.6271
32,0.6496
33,0.6778
34,0.6465
35,0.6592
36,0.6838
37,0.6559
38,0.6243
39,0.6884
40,0.6742
41,0.6565
42,0.638
43,0.6594
44,0.6677
45,0.6566
46,0.6458
47,0.6601
48,0.6713
49,0.6793
50,0.6909
51,0.6932
52,0.6575
53,0.6955
54,0.6734
55,0.6612
56,0.6613
57,0.6446
58,0.6695
59,0.6811
60,0.6149
61,0.6456
62,0.6547
63,0.6768
64,0.6976
65,0.6615
66,0.6364
67,0.6475
68,0.6305
69,0.6515
70,0.6625
71,0.6914
72,0.6683
73,0.6369
74,0.6633
75,0.6405
76,0.6631
77,0.6995
78,0.6839
79,0.6654
80,0.6619
81,0.6689
82,0.6674
83,0.6585
84,0.6352
85,0.645
86,0.6541
87,0.6724
88,0.696
89,0.6608
90,0.6774
91,0.7131
92,0.649
93,0.6499
94,0.6729
95,0.6439
96,0.6841
97,0.6321
98,0.6113
99,0.6484
100,0.6404
101,0.6763
102,0.6408
103,0.6648
104,0.6823
105,0.6561
106,0.6637
107,0.6754
108,0.674
109,0.6324
110,0.6796
111,0.6519
112,0.5882
113,0.6532
114,0.7067
115,0.6939
116,0.5942
117,0.6713
118,0.6491
119,0.6689
120,0.6866
121,0.6497
122,0.6706
123,0.6816
124,0.6722
125,0.6647
126,0.6877
127,0.6563
128,0.6762
129,0.6704
130,0.6488
131,0.6603
132,0.6394
133,0.6849
134,0.6898
135,0.6785
136,0.6732
137,0.6298
138,0.6662
139,0.6738
140,0.6452
141,0.6522
142,0.6597
143,0.6813
144,0.6828
145,0.6628
146,0.6342
147,0.6497
148,0.6707
149,0.6486
150,0.6603
151,0.6413
152,0.6478
153,0.6446
154,0.6674
155,0.6785
156,0.6786
157,0.676
158,0.6676
159,0.6191
160,0.6869
161,0.6908
162,0.6767
163,0.6588
164,0.6681
165,0.6663
166,0.6357
167,0.5915
168,0.6268
169,0.6392
170,0.6507
171,0.6478
172,0.6669
173,0.673
174,0.6744
175,0.6283
176,0.6908
177,0.7098
178,0.6806
179,0.6595
180,0.674
181,0.679
182,0.6415
183,0.6818
184,0.6702
185,0.6703
186,0.6621
187,0.6638
188,0.6748
189,0.642
190,0.6426
191,0.7022
